student_id,school,grade,section,gender,age,attendance_pct,study_hours_daily,internet_access,parent_education,mathematics,science,english,social_science,computer
STU-0048,North Academy,11,B,Female,17,72.8,2.5,Yes,Graduate,55.4,57.1,64.7,62.1,60.3
STU-0049,North Academy,10,A,Female,15,88.7,1.7,No,Primary,61.7,68.6,64.2,68.2,52.9
STU-0050,North Academy,9,A,Male,14,92.8,3.2,No,Primary,66.1,73.8,85.4,83.0,78.1
STU-0051,East Model,9,C,Female,14,73.0,0.3,No,Postgraduate,48.3,48.1,73.7,58.3,61.8
STU-0052,West Senior,12,C,Female,17,94.9,2.3,Yes,Secondary,42.7,52.1,59.7,82.2,75.0
STU-0053,West Senior,10,A,Male,15,68.8,1.1,Yes,Postgraduate,75.3,64.4,60.0,49.0,63.0
STU-0054,West Senior,11,A,Female,16,75.0,2.2,Yes,Primary,61.3,57.6,88.7,52.5,66.0
STU-0055,East Model,10,C,Female,16,60.0,0.8,Yes,Secondary,51.8,50.6,54.8,62.1,47.9
STU-0056,North Academy,10,C,Female,15,78.3,3.9,Yes,Postgraduate,50.6,70.8,64.4,76.4,82.8
STU-0057,East Model,11,C,Male,16,79.1,5.9,No,Secondary,82.4,72.1,93.2,94.0,80.2
STU-0058,South Public,11,B,Male,16,93.5,2.0,Yes,Secondary,65.3,53.9,52.0,73.6,92.8
STU-0059,West Senior,9,A,Male,15,87.7,1.8,Yes,Postgraduate,83.0,73.5,67.2,93.6,78.9
STU-0060,North Academy,10,A,Female,15,73.4,1.5,Yes,Secondary,63.7,34.6,60.4,56.0,59.8
STU-0061,North Academy,9,B,Male,15,82.5,2.9,Yes,Graduate,85.9,75.7,62.1,68.6,72.1
STU-0062,East Model,9,B,Male,15,75.4,4.9,Yes,Graduate,69.8,77.8,64.8,79.3,65.3
STU-0063,North Academy,12,A,Male,17,72.6,1.8,Yes,Primary,57.1,54.0,60.6,67.0,66.3
STU-0064,East Model,11,C,Female,17,88.6,0.2,Yes,Primary,60.8,58.1,65.8,50.6,48.4
STU-0065,North Academy,9,C,Male,14,69.4,2.6,Yes,Secondary,57.0,48.6,71.8,64.6,62.8
STU-0066,East Model,11,A,Male,16,85.8,3.8,Yes,Graduate,76.0,68.2,67.5,81.7,92.6
STU-0067,East Model,12,A,Male,17,74.5,1.5,Yes,Secondary,57.3,72.5,56.4,71.4,60.1
STU-0068,West Senior,10,B,Male,16,93.0,3.1,No,Graduate,54.6,67.2,68.6,76.3,61.1
STU-0069,South Public,12,A,Male,18,74.0,1.3,Yes,Primary,43.2,64.8,79.0,45.4,67.2
STU-0070,South Public,11,B,Male,17,76.0,0.5,No,Graduate,48.6,58.7,64.0,60.5,53.8
STU-0071,North Academy,11,A,Female,16,79.2,0.4,Yes,Secondary,46.1,62.2,56.4,56.0,74.4
STU-0072,East Model,12,B,Female,17,84.1,1.7,Yes,Postgraduate,52.9,68.2,58.6,71.2,67.3
STU-0073,West Senior,12,B,Male,17,90.8,3.2,Yes,Primary,65.9,68.0,88.8,76.9,69.5
STU-0074,East Model,9,A,Female,14,82.7,0.3,Yes,Secondary,57.5,56.5,64.9,63.7,63.7
STU-0075,West Senior,11,C,Male,16,96.2,1.1,Yes,Secondary,70.0,78.0,72.8,55.8,85.7
STU-0076,East Model,9,A,Female,15,86.4,3.8,Yes,Graduate,66.7,78.7,73.9,89.2,75.1
STU-0077,North Academy,11,A,Female,17,83.6,3.2,Yes,Secondary,69.7,62.5,55.8,82.1,71.8
STU-0078,East Model,11,B,Female,16,91.0,1.2,Yes,Secondary,65.1,48.1,66.7,66.7,69.2
STU-0079,West Senior,12,C,Female,17,91.0,4.8,No,Graduate,70.3,74.6,87.4,80.8,84.3
STU-0080,West Senior,12,B,Male,17,93.8,1.8,Yes,Primary,63.6,59.3,68.2,63.8,62.5
STU-0081,West Senior,10,C,Female,16,85.0,0.9,Yes,Primary,55.9,71.1,46.5,53.4,83.3
STU-0082,East Model,9,C,Male,15,91.4,2.2,Yes,Secondary,55.9,64.5,77.5,91.0,80.7
STU-0083,North Academy,9,C,Female,15,84.6,1.7,Yes,Secondary,61.6,52.1,56.4,60.6,63.6
STU-0084,South Public,11,A,Male,16,75.9,1.5,Yes,Postgraduate,60.4,42.1,72.6,70.9,70.7
STU-0085,West Senior,9,B,Male,14,85.9,1.1,Yes,Graduate,61.7,60.6,69.5,70.6,61.0
STU-0086,East Model,11,B,Male,17,78.5,2.4,Yes,Primary,57.2,34.7,64.5,64.3,64.2
STU-0087,South Public,11,B,Male,17,82.0,0.4,Yes,Primary,61.7,59.2,68.7,69.0,68.0
STU-0088,North Academy,10,A,Female,16,87.8,1.4,Yes,Graduate,69.8,64.5,44.0,68.4,66.5
STU-0089,South Public,9,A,Male,15,76.7,1.1,No,Graduate,52.5,67.1,41.9,73.5,59.6
STU-0090,South Public,9,B,Male,14,67.3,4.7,No,Primary,70.7,64.0,75.7,72.7,62.6
STU-0091,South Public,10,B,Male,15,88.2,2.4,No,Primary,75.5,85.2,64.4,67.4,69.6
STU-0092,East Model,11,B,Female,16,99.0,1.8,Yes,Secondary,51.0,77.4,75.2,63.1,55.9
STU-0093,West Senior,9,B,Male,14,69.2,1.3,No,Primary,65.4,73.5,53.8,45.4,58.6
STU-0094,North Academy,12,A,Female,17,74.7,1.6,No,Secondary,73.4,53.8,70.1,75.0,52.0
STU-0095,West Senior,12,C,Female,17,100.0,1.4,Yes,Graduate,77.1,53.4,89.4,66.8,50.4
STU-0096,South Public,12,C,Male,17,78.4,3.4,Yes,Primary,52.8,61.2,65.3,76.2,92.8
STU-0097,North Academy,10,A,Female,15,49.3,1.3,Yes,Graduate,30.5,54.5,60.3,49.7,46.1
STU-0098,North Academy,11,A,Female,16,98.7,2.1,Yes,Secondary,80.3,71.4,85.9,71.2,59.2
STU-0099,North Academy,11,C,Male,16,87.6,4.9,No,Secondary,42.9,87.9,90.8,70.2,75.8
STU-0100,South Public,11,B,Female,16,93.5,1.4,Yes,Primary,62.9,61.7,79.8,57.5,53.2
STU-0101,North Academy,11,B,Male,16,87.8,1.1,Yes,Primary,65.4,55.4,59.7,73.2,73.9
STU-0102,North Academy,10,C,Female,15,76.3,3.4,Yes,Primary,72.8,91.7,79.5,75.9,82.6
STU-0103,South Public,10,A,Female,15,89.8,1.6,Yes,Secondary,78.6,81.3,68.0,67.6,62.4
STU-0104,East Model,10,B,Male,15,65.6,4.4,Yes,Postgraduate,70.4,74.9,78.9,68.6,67.0
STU-0105,West Senior,9,B,Female,14,86.7,2.8,Yes,Secondary,61.0,86.3,65.9,73.9,83.8
STU-0106,East Model,12,B,Female,17,81.6,3.3,Yes,Graduate,65.6,63.9,64.2,72.3,92.1
STU-0107,South Public,9,B,Female,14,89.1,2.0,No,Graduate,67.2,81.1,71.2,74.5,86.9
STU-0108,West Senior,10,C,Female,15,73.0,2.4,Yes,Graduate,68.7,72.6,80.8,65.4,60.1
STU-0109,South Public,10,B,Female,16,83.1,4.3,Yes,Secondary,61.1,70.7,57.5,83.4,82.5
STU-0110,West Senior,12,C,Female,18,84.8,1.5,Yes,Postgraduate,61.6,51.8,46.2,50.8,69.1
STU-0111,South Public,9,A,Male,14,81.1,2.3,Yes,Primary,62.6,71.6,72.7,57.8,79.5
STU-0112,South Public,11,B,Male,17,76.9,2.0,Yes,Postgraduate,68.4,59.0,73.6,75.9,73.7
STU-0113,North Academy,10,B,Male,16,89.3,1.5,Yes,Secondary,57.2,71.6,70.4,82.3,67.5
STU-0114,West Senior,12,C,Male,18,59.6,0.9,Yes,Graduate,67.1,57.4,47.4,53.2,47.8
STU-0115,West Senior,10,A,Male,15,76.0,3.9,Yes,Secondary,55.0,55.8,77.8,67.0,83.7
STU-0116,South Public,10,B,Female,16,69.8,1.7,Yes,Secondary,64.8,60.9,59.8,62.3,65.5
STU-0117,North Academy,12,A,Female,17,71.0,4.4,Yes,Postgraduate,86.8,67.7,89.2,72.3,50.3
STU-0118,North Academy,11,C,Male,16,100.0,2.8,Yes,Secondary,72.0,69.7,67.8,72.9,69.7
STU-0119,North Academy,10,B,Female,15,74.9,1.9,No,Graduate,50.8,75.8,74.6,60.9,61.6
STU-0120,South Public,9,B,Male,15,89.1,3.1,Yes,Graduate,60.8,79.1,71.9,64.1,96.0
STU-0121,East Model,11,A,Male,16,75.1,3.7,Yes,Graduate,55.8,61.5,68.1,74.4,84.2
STU-0122,South Public,11,B,Male,16,82.9,3.1,No,Postgraduate,48.4,61.5,55.2,66.2,71.4
STU-0123,East Model,11,C,Female,16,91.8,0.2,Yes,Primary,59.0,49.1,59.3,51.2,54.6
STU-0124,North Academy,11,C,Male,16,79.3,2.0,Yes,Secondary,82.8,60.0,60.4,81.0,69.0
STU-0125,West Senior,10,B,Female,15,82.1,3.4,Yes,Graduate,59.1,81.1,77.6,63.8,75.9
STU-0126,West Senior,9,A,Female,14,88.7,1.4,No,Secondary,65.1,56.1,52.0,80.3,76.2
STU-0127,East Model,11,B,Female,16,80.2,1.5,Yes,Graduate,60.2,66.8,58.3,45.5,65.7
STU-0128,North Academy,11,B,Female,16,70.0,2.5,Yes,Primary,72.6,48.5,62.1,62.8,46.4
STU-0129,South Public,11,C,Female,17,74.9,1.0,Yes,Graduate,42.9,64.6,45.8,49.2,54.2
STU-0130,West Senior,9,A,Female,14,94.6,0.8,Yes,Graduate,80.6,80.5,51.3,69.6,55.5
STU-0131,South Public,12,C,Male,17,77.2,1.9,Yes,Graduate,67.6,58.5,63.6,58.7,60.0
STU-0132,South Public,12,B,Female,18,74.7,7.0,No,Graduate,66.9,100.0,100.0,76.5,78.8
STU-0133,East Model,9,B,Female,14,73.6,0.5,Yes,Graduate,40.5,50.2,64.6,78.7,63.8
STU-0134,East Model,11,C,Female,16,78.0,2.6,No,Postgraduate,54.2,70.8,65.9,65.1,65.2
STU-0135,North Academy,11,A,Female,16,80.9,2.7,Yes,Postgraduate,68.8,64.3,65.9,79.5,50.6
STU-0136,North Academy,10,B,Female,15,85.6,2.4,Yes,Secondary,71.3,83.4,83.3,63.3,53.8
STU-0137,East Model,11,A,Male,17,75.1,2.3,Yes,Postgraduate,58.2,55.2,63.5,63.5,61.3
STU-0138,South Public,9,A,Female,15,82.3,1.3,Yes,Secondary,55.9,66.6,67.6,68.4,72.1
STU-0139,West Senior,9,C,Male,15,99.8,1.7,No,Graduate,62.3,63.1,71.3,68.3,92.6
STU-0140,South Public,10,B,Male,16,76.8,4.0,No,Graduate,58.8,62.2,72.2,53.9,84.3
STU-0141,North Academy,11,A,Female,16,83.4,1.4,No,Secondary,55.9,72.0,66.6,65.9,69.0
STU-0142,West Senior,10,B,Female,15,83.1,3.7,Yes,Graduate,70.4,74.7,67.4,69.6,84.2
STU-0143,North Academy,11,A,Female,16,85.7,2.7,Yes,Postgraduate,63.3,70.5,79.5,52.8,70.9
STU-0144,West Senior,10,A,Female,15,90.9,1.1,Yes,Primary,53.3,72.0,69.7,66.6,58.4
STU-0145,North Academy,11,B,Female,16,78.8,5.3,No,Graduate,76.8,82.6,74.0,68.2,71.7
STU-0146,North Academy,9,B,Female,14,95.6,1.5,Yes,Secondary,64.3,85.1,57.9,64.9,64.9
STU-0147,North Academy,12,C,Female,17,75.1,1.7,Yes,Secondary,63.5,84.7,66.9,67.2,49.3
STU-0148,North Academy,11,B,Male,16,67.7,2.3,Yes,Graduate,61.4,58.5,62.4,74.1,52.3
STU-0149,West Senior,11,B,Female,17,92.8,1.0,Yes,Primary,56.4,60.5,69.0,58.1,52.0
STU-0150,South Public,9,C,Female,14,80.9,1.1,Yes,Graduate,48.1,50.4,58.3,71.8,57.6
STU-0151,South Public,11,A,Female,16,73.6,4.3,Yes,Primary,66.7,58.0,68.7,47.5,73.9
STU-0152,West Senior,9,A,Male,15,78.7,2.2,No,Postgraduate,65.3,50.9,74.6,62.6,75.3
STU-0153,East Model,11,C,Male,17,66.1,1.2,Yes,Secondary,74.5,52.3,52.5,67.8,58.3
STU-0154,West Senior,9,B,Male,14,94.9,0.9,Yes,Graduate,54.4,53.6,75.2,53.2,71.1
STU-0155,South Public,10,C,Male,15,67.9,3.3,Yes,Primary,77.2,52.9,70.4,62.1,70.7
STU-0156,North Academy,12,B,Female,18,80.0,3.4,Yes,Graduate,77.3,68.8,84.3,78.1,76.5
STU-0157,North Academy,11,A,Male,16,78.4,1.7,No,Secondary,61.0,65.3,57.3,56.9,71.5
STU-0158,South Public,9,C,Female,14,59.0,2.0,Yes,Primary,58.8,53.2,56.7,55.7,58.6
STU-0159,West Senior,11,C,Male,16,80.6,3.3,Yes,Secondary,53.4,78.3,77.9,71.7,85.7
STU-0160,South Public,10,A,Female,15,82.1,2.0,Yes,Postgraduate,62.6,61.1,69.0,73.4,67.4
STU-0161,South Public,12,B,Female,17,88.9,0.8,Yes,Graduate,33.6,58.0,54.1,62.5,71.1
STU-0162,South Public,10,A,Female,15,85.2,1.2,Yes,Secondary,76.7,57.7,74.8,69.3,68.3
STU-0163,North Academy,9,B,Female,14,89.4,0.8,Yes,Primary,61.7,76.1,81.0,64.2,76.7
STU-0164,South Public,10,C,Male,16,90.8,0.9,Yes,Secondary,62.0,77.5,78.2,58.3,74.5
STU-0165,West Senior,12,C,Female,17,85.5,1.3,Yes,Secondary,89.6,56.6,63.7,59.4,73.6
STU-0166,South Public,9,A,Female,14,78.0,1.8,Yes,Graduate,27.0,67.8,63.7,79.0,71.4
STU-0167,South Public,12,B,Male,17,100.0,1.4,Yes,Graduate,73.9,70.8,80.1,69.5,64.9
STU-0168,East Model,12,A,Female,18,68.1,1.9,Yes,Secondary,60.8,64.4,76.8,49.9,61.3
STU-0169,West Senior,10,C,Male,16,78.9,1.5,Yes,Postgraduate,62.1,58.9,64.0,66.4,76.3
STU-0170,North Academy,12,C,Male,18,78.7,1.5,Yes,Primary,43.6,61.9,72.8,80.1,49.5
STU-0171,North Academy,11,A,Female,16,75.0,0.7,Yes,Primary,49.6,71.4,73.7,62.8,52.6
STU-0172,West Senior,11,C,Female,17,75.1,1.1,Yes,Primary,57.6,57.7,67.7,64.7,62.9
STU-0173,South Public,10,A,Female,15,75.6,4.6,Yes,Primary,80.8,75.3,65.9,92.2,89.4
STU-0174,North Academy,11,C,Male,16,79.2,4.1,Yes,Graduate,59.8,75.0,68.4,57.8,74.6
STU-0175,South Public,9,A,Female,14,82.2,1.1,Yes,Postgraduate,52.7,68.7,62.2,84.1,81.7
STU-0176,West Senior,12,C,Male,17,70.1,2.3,No,Graduate,63.2,41.2,61.3,61.3,73.4
STU-0177,East Model,9,B,Male,14,73.2,3.2,Yes,Primary,63.9,83.5,75.2,82.0,75.6
STU-0178,East Model,10,B,Male,15,68.6,1.6,No,Primary,54.1,38.4,60.0,64.7,59.1
STU-0179,East Model,10,A,Female,15,81.4,3.8,Yes,Secondary,48.8,67.6,79.4,80.4,70.8
STU-0180,West Senior,9,A,Female,15,90.9,2.2,Yes,Secondary,60.0,55.8,62.5,73.3,76.9
STU-0181,East Model,9,A,Female,14,74.5,4.9,No,Postgraduate,74.5,56.0,83.7,59.3,79.3
STU-0182,North Academy,11,B,Female,16,87.7,3.3,Yes,Secondary,86.4,78.3,72.7,60.6,68.9
STU-0183,East Model,9,A,Female,14,97.0,3.2,Yes,Secondary,66.5,82.6,67.1,71.9,80.7
STU-0184,East Model,11,A,Male,16,85.3,1.0,Yes,Graduate,39.6,61.4,71.4,71.8,77.9
STU-0185,North Academy,10,B,Female,15,78.0,3.7,Yes,Graduate,71.8,72.2,57.1,71.9,67.4
STU-0186,East Model,10,A,Male,16,92.8,3.3,Yes,Secondary,69.7,67.5,84.2,81.7,86.2
STU-0187,South Public,10,C,Female,15,79.7,2.4,Yes,Postgraduate,62.7,70.5,59.3,60.8,71.1
STU-0188,West Senior,12,C,Female,17,84.9,2.2,Yes,Primary,66.4,72.2,68.2,73.8,72.9
STU-0189,West Senior,10,C,Male,16,87.0,3.3,No,Secondary,66.0,89.3,68.5,56.3,77.3
STU-0190,East Model,10,A,Male,15,66.1,3.1,No,Secondary,79.6,65.0,71.2,62.4,53.2
STU-0191,West Senior,11,B,Male,17,95.7,5.7,No,Graduate,86.6,88.3,100.0,100.0,100.0
STU-0192,North Academy,9,A,Female,14,86.9,1.5,Yes,Postgraduate,62.8,64.9,74.8,64.4,74.4
STU-0193,East Model,12,B,Male,17,99.6,3.1,Yes,Graduate,67.3,71.7,65.8,77.2,87.1
STU-0194,South Public,12,C,Female,18,100.0,3.0,Yes,Graduate,85.6,68.3,78.0,87.4,80.1
STU-0195,South Public,9,A,Male,15,99.2,1.4,Yes,Secondary,74.5,42.5,82.4,75.3,74.7
STU-0196,West Senior,9,A,Female,14,85.6,3.7,Yes,Secondary,72.2,84.4,82.7,80.2,66.9
STU-0197,East Model,12,B,Male,17,78.5,1.9,No,Graduate,57.0,56.8,61.9,61.4,45.9
STU-0198,West Senior,10,B,Male,16,66.1,3.5,Yes,Primary,58.6,56.2,39.7,74.5,69.6
STU-0199,North Academy,12,A,Female,18,80.2,0.9,Yes,Secondary,60.5,64.8,58.9,49.7,70.5
STU-0200,North Academy,12,C,Male,17,83.9,3.3,Yes,Secondary,60.4,69.6,78.3,52.7,61.9
STU-0201,North Academy,12,B,Male,18,83.9,1.0,Yes,Graduate,65.5,41.6,76.7,48.1,66.2
STU-0202,West Senior,12,A,Male,17,82.2,1.5,Yes,Graduate,64.6,47.9,72.7,64.3,54.0
STU-0203,East Model,9,B,Female,14,74.6,0.5,Yes,Secondary,62.3,74.8,48.3,58.3,54.3
STU-0204,East Model,10,B,Female,15,78.1,0.5,No,Secondary,39.7,64.6,64.2,63.7,60.5
STU-0205,East Model,9,A,Male,15,95.7,2.1,No,Graduate,72.5,75.8,90.6,80.2,79.1
STU-0206,South Public,11,A,Female,16,82.5,5.9,Yes,Secondary,83.8,81.6,85.9,68.5,53.1
STU-0207,West Senior,10,B,Female,16,81.8,2.4,Yes,Graduate,53.9,66.7,65.7,72.6,53.0
STU-0208,East Model,11,B,Female,17,80.9,2.5,Yes,Secondary,60.6,59.2,71.4,69.4,78.5
STU-0209,West Senior,10,A,Female,15,81.1,1.3,Yes,Primary,64.0,66.7,65.9,73.1,52.6
STU-0210,West Senior,12,A,Male,18,80.8,5.1,Yes,Postgraduate,71.7,69.4,82.4,65.5,78.3
STU-0211,North Academy,10,C,Female,15,98.4,0.5,No,Primary,64.8,55.7,73.9,45.9,66.1
STU-0212,East Model,11,C,Female,16,78.1,3.1,Yes,Secondary,62.0,64.6,67.7,59.0,79.1
STU-0213,North Academy,10,A,Female,15,76.1,2.7,Yes,Secondary,74.5,77.4,74.4,74.6,71.4
STU-0214,South Public,9,B,Male,15,86.6,2.3,Yes,Secondary,59.9,75.4,75.4,69.1,79.5
STU-0215,West Senior,9,A,Female,14,70.9,1.7,Yes,Secondary,52.5,50.1,63.7,81.2,57.8
STU-0216,North Academy,10,A,Male,15,79.9,0.8,No,Secondary,42.1,61.8,62.1,50.3,69.4
STU-0217,East Model,12,C,Male,17,84.4,2.3,Yes,Postgraduate,45.3,58.1,69.4,67.4,73.7
STU-0218,West Senior,9,A,Male,15,89.7,1.9,Yes,Graduate,59.7,58.8,58.9,59.6,91.0
STU-0219,North Academy,12,C,Male,18,80.7,2.6,Yes,Secondary,86.2,48.7,90.9,66.1,57.7
STU-0220,South Public,9,C,Male,15,77.6,1.0,No,Graduate,66.5,43.0,58.7,64.0,47.0
STU-0221,West Senior,12,A,Female,17,84.3,2.1,Yes,Secondary,40.6,68.9,70.6,75.2,64.9
STU-0222,West Senior,11,B,Male,17,77.9,3.4,Yes,Graduate,77.5,79.6,77.6,77.3,78.5
STU-0223,West Senior,11,B,Male,16,63.7,0.7,Yes,Secondary,49.9,57.1,60.7,71.6,60.2
STU-0224,South Public,10,C,Male,16,91.9,2.8,Yes,Secondary,65.0,60.5,62.2,90.0,84.2
STU-0225,North Academy,9,A,Female,15,82.1,0.4,Yes,Graduate,55.0,68.2,59.6,62.1,66.4
STU-0226,East Model,9,C,Male,14,93.9,1.5,Yes,Secondary,82.8,50.4,73.6,75.6,71.1
STU-0227,North Academy,11,B,Female,17,82.0,0.6,Yes,Postgraduate,37.5,63.5,66.4,57.7,52.9
STU-0228,North Academy,11,C,Male,16,98.7,3.2,Yes,Primary,85.1,83.9,83.1,69.3,90.7
STU-0229,North Academy,9,B,Female,15,100.0,1.8,Yes,Secondary,82.8,88.3,75.7,64.4,90.6
STU-0230,East Model,10,C,Male,16,74.8,2.1,Yes,Primary,65.9,68.4,69.2,85.2,69.3
STU-0231,East Model,12,A,Male,17,89.2,1.3,Yes,Secondary,62.8,62.5,63.0,49.2,75.6
STU-0232,North Academy,11,C,Female,16,72.9,2.7,No,Graduate,44.6,71.9,72.1,65.3,62.2
STU-0233,East Model,9,B,Female,14,83.5,1.2,Yes,Postgraduate,49.2,63.9,62.7,76.4,58.9
STU-0234,South Public,9,A,Male,14,74.7,3.1,No,Secondary,78.3,56.7,84.7,52.1,67.4
STU-0235,West Senior,11,B,Male,17,81.0,1.5,Yes,Primary,53.9,49.3,66.7,64.3,83.6
STU-0236,North Academy,9,A,Male,15,91.7,2.2,Yes,Graduate,69.3,71.5,74.8,79.7,68.4
STU-0237,West Senior,11,B,Female,17,93.0,1.4,Yes,Graduate,67.0,68.5,83.2,63.1,59.2
STU-0238,East Model,12,B,Female,18,87.8,1.3,Yes,Postgraduate,76.4,49.5,74.8,55.2,79.5
STU-0239,North Academy,11,C,Male,16,81.6,1.8,No,Secondary,54.5,68.6,70.2,50.4,52.8
STU-0240,East Model,11,B,Male,16,94.2,1.5,Yes,Graduate,66.5,62.7,71.2,69.8,71.2
STU-0241,North Academy,9,C,Male,15,100.0,2.9,No,Secondary,76.0,73.8,80.8,71.5,85.3
STU-0242,West Senior,10,B,Female,15,83.5,1.0,No,Primary,55.5,50.1,60.2,50.5,65.2
STU-0243,South Public,11,C,Female,17,96.4,0.4,Yes,Primary,54.4,45.9,63.5,75.5,54.0
STU-0244,West Senior,12,B,Male,18,78.8,1.1,No,Secondary,38.0,48.8,61.9,76.4,76.4
STU-0245,West Senior,11,B,Female,16,97.3,1.4,Yes,Secondary,59.9,66.4,90.3,77.5,80.9
STU-0246,West Senior,9,C,Female,14,74.4,7.0,Yes,Secondary,67.9,95.3,88.2,88.2,100.0
STU-0247,East Model,10,B,Female,15,92.2,1.3,Yes,Secondary,72.4,91.8,75.2,56.7,68.6
