invoice_id,date,time,branch,city,customer_type,gender,category,product,unit_price,quantity,discount_pct,payment_method,rating,cost_price
INV-2024-00018,2024-01-07,18:31,B,Mumbai,Normal,Male,Home & Kitchen,Bedsheet,955.83,5,0.05,Cash,,630.85
INV-2024-00019,2024-03-17,13:14,A,Delhi,Normal,Male,Groceries,Cooking Oil,797.14,7,0.05,UPI,7.4,653.65
INV-2024-00020,2024-03-01,12:10,C,Bengaluru,Normal,Female,Groceries,Cooking Oil,764.56,6,0.05,UPI,8.3,626.94
INV-2024-00021,2024-03-11,17:10,B,Mumbai,Normal,Male,Groceries,Breakfast Cereal,396.1,5,0.0,UPI,8.6,324.8
INV-2024-00022,2024-02-04,18:29,A,Delhi,Member,Male,Electronics,Bluetooth Speaker,2932.24,4,0.15,Card,9.6,2023.25
INV-2024-00023,2024-03-29,14:39,C,Bengaluru,Member,Male,Clothing,Jeans,1849.47,2,0.05,UPI,8.2,1128.18
INV-2024-00024,2024-03-23,15:53,A,Delhi,Normal,Female,Personal Care,Skin Care Kit,1152.91,2,0.1,UPI,7.8,668.69
INV-2024-00025,2024-03-13,18:21,A,Delhi,Normal,Female,Clothing,T-Shirt,784.35,5,0.05,Card,9.7,478.45
INV-2024-00026,2024-01-20,15:50,B,Mumbai,Normal,Female,Sports,Fitness Band,1402.55,4,0.1,Card,9.3,897.63
INV-2024-00027,2024-02-15,13:14,A,Delhi,Normal,Female,Electronics,Power Bank,1588.52,1,0.0,UPI,6.1,1096.08
INV-2024-00028,2024-01-05,20:16,B,Mumbai,Member,Male,Clothing,Jacket,3217.74,1,0.05,UPI,5.6,1962.82
INV-2024-00029,2024-01-16,16:48,C,Bengaluru,Member,Female,Electronics,Bluetooth Speaker,2863.12,3,0.1,UPI,7.4,1975.55
INV-2024-00030,2024-03-05,13:47,B,Mumbai,Member,Female,Electronics,Earbuds,2045.67,1,0.0,UPI,7.8,1411.51
INV-2024-00031,2024-03-10,20:48,A,Delhi,Normal,Male,Groceries,Cooking Oil,784.68,2,0.1,UPI,8.3,643.44
INV-2024-00032,2024-03-29,17:24,A,Delhi,Member,Female,Electronics,Power Bank,1488.86,3,0.15,UPI,8.0,1027.31
INV-2024-00033,2024-02-02,09:16,B,Mumbai,Normal,Male,Electronics,Earbuds,2216.48,1,0.0,UPI,8.3,1529.37
INV-2024-00034,2024-02-06,12:56,A,Delhi,Member,Male,Electronics,Power Bank,1615.73,3,0.2,UPI,6.5,1114.85
INV-2024-00035,2024-02-15,12:25,B,Mumbai,Normal,Female,Clothing,Jacket,3070.39,2,0.2,Cash,8.8,1872.94
INV-2024-00036,2024-01-20,18:42,A,Delhi,Normal,Female,Clothing,Jacket,2876.22,1,0.05,Card,9.3,1754.49
INV-2024-00037,2024-01-14,10:00,A,Delhi,Normal,Male,Sports,Cricket Bat,2027.19,3,0.1,Card,10.0,1297.4
INV-2024-00038,2024-02-16,16:33,C,Bengaluru,Normal,Male,Electronics,Bluetooth Speaker,2684.63,1,0.0,UPI,7.5,1852.39
INV-2024-00039,2024-01-23,15:10,A,Delhi,Member,Female,Personal Care,Trimmer,1793.74,4,0.15000000000000002,Cash,8.3,1040.37
INV-2024-00040,2024-03-04,13:20,A,Delhi,Member,Female,Clothing,T-Shirt,747.96,6,0.2,Card,8.9,456.26
INV-2024-00041,2024-02-12,16:17,B,Mumbai,Member,Male,Groceries,Breakfast Cereal,399.43,5,0.1,Card,8.3,327.53
INV-2024-00042,2024-03-17,17:36,A,Delhi,Member,Male,Personal Care,Skin Care Kit,1208.38,1,0.0,Card,8.1,700.86
INV-2024-00043,2024-03-07,16:18,B,Mumbai,Normal,Male,Personal Care,Skin Care Kit,1290.94,1,0.1,Card,8.9,748.75
INV-2024-00044,2024-02-01,17:44,A,Delhi,Normal,Male,Groceries,Cooking Oil,763.83,1,0.0,Card,7.2,626.34
INV-2024-00045,2024-03-17,15:42,C,Bengaluru,Member,Female,Groceries,Breakfast Cereal,384.3,3,0.0,UPI,8.5,315.13
INV-2024-00046,2024-03-15,10:36,A,Delhi,Normal,Male,Personal Care,Skin Care Kit,1292.11,1,0.0,UPI,6.5,749.42
INV-2024-00047,2024-02-08,18:38,A,Delhi,Normal,Male,Electronics,Smart Watch,4303.18,3,0.05,Cash,6.4,2969.19
INV-2024-00048,2024-01-29,19:53,A,Delhi,Normal,Female,Groceries,Rice 5kg,585.45,2,0.1,Card,9.4,480.07
INV-2024-00049,2024-03-05,16:14,C,Bengaluru,Member,Male,Groceries,Rice 5kg,572.01,3,0.05,Card,9.2,469.05
INV-2024-00050,2024-01-14,17:54,A,Delhi,Normal,Male,Personal Care,Skin Care Kit,1124.93,1,0.0,Card,7.1,652.46
INV-2024-00051,2024-01-20,20:12,B,Mumbai,Normal,Female,Groceries,Breakfast Cereal,408.25,5,0.15,UPI,9.5,334.77
INV-2024-00052,2024-01-01,13:15,A,Delhi,Normal,Male,Groceries,Dry Fruits,976.75,4,0.2,UPI,5.9,800.94
INV-2024-00053,2024-03-14,18:18,A,Delhi,Normal,Female,Sports,Dumbbell Set,2362.85,3,0.05,UPI,6.8,1512.22
INV-2024-00054,2024-03-03,13:19,A,Delhi,Member,Female,Electronics,Bluetooth Speaker,2883.6,1,0.0,Cash,6.4,1989.68
INV-2024-00055,2024-03-07,19:02,C,Bengaluru,Normal,Female,Electronics,Smart Watch,3920.0,4,0.0,Cash,7.7,2704.8
INV-2024-00056,2024-03-13,18:49,B,Mumbai,Normal,Female,Electronics,Power Bank,1379.28,1,0.15,UPI,5.2,951.7
INV-2024-00057,2024-02-14,20:19,A,Delhi,Member,Male,Electronics,Power Bank,1413.27,6,0.05,Card,8.9,975.16
INV-2024-00058,2024-02-24,21:11,A,Delhi,Normal,Female,Electronics,Earbuds,2369.5,3,0.1,Cash,6.3,1634.95
INV-2024-00059,2024-01-14,14:00,B,Mumbai,Normal,Male,Groceries,Dry Fruits,886.24,2,0.05,UPI,9.6,726.72
INV-2024-00060,2024-01-12,18:11,A,Delhi,Normal,Male,Groceries,Cooking Oil,738.69,2,0.1,Card,7.7,605.73
INV-2024-00061,2024-03-04,16:55,B,Mumbai,Normal,Female,Sports,Fitness Band,1217.84,1,0.0,Card,6.0,779.42
INV-2024-00062,2024-02-15,15:35,A,Delhi,Normal,Male,Personal Care,Trimmer,1847.53,1,0.0,Card,7.9,1071.57
INV-2024-00063,2024-02-24,13:08,C,Bengaluru,Normal,Female,Home & Kitchen,Mixer Grinder,3266.99,2,0.1,UPI,10.0,2156.21
INV-2024-00064,2024-03-12,15:07,C,Bengaluru,Member,Female,Electronics,Earbuds,2346.48,3,0.05,Card,6.5,1619.07
INV-2024-00065,2024-03-01,21:48,C,Bengaluru,Normal,Female,Groceries,Cooking Oil,731.52,1,0.05,UPI,6.2,599.85
INV-2024-00066,2024-02-23,11:02,A,Delhi,Normal,Male,Clothing,T-Shirt,764.24,2,0.05,Cash,6.4,466.19
INV-2024-00067,2024-02-23,18:57,B,Mumbai,Normal,Female,Electronics,Bluetooth Speaker,2791.6,4,0.1,UPI,7.0,1926.2
INV-2024-00068,2024-01-31,13:02,A,Delhi,Member,Female,Home & Kitchen,Cookware Set,2241.69,2,0.1,Card,8.9,1479.52
INV-2024-00069,2024-01-04,18:29,B,Mumbai,Normal,Female,Clothing,Jacket,2771.79,2,0.05,UPI,6.7,1690.79
INV-2024-00070,2024-02-12,09:43,A,Delhi,Member,Male,Sports,Yoga Mat,961.84,5,0.1,UPI,8.3,615.58
INV-2024-00071,2024-01-22,14:44,A,Delhi,Member,Male,Electronics,Earbuds,2305.03,3,0.0,UPI,6.0,1590.47
INV-2024-00072,2024-02-10,14:30,A,Delhi,Normal,Male,Personal Care,Trimmer,1858.49,1,0.0,Cash,6.5,1077.92
INV-2024-00073,2024-03-19,12:31,A,Delhi,Normal,Male,Groceries,Breakfast Cereal,397.97,2,0.0,UPI,8.8,326.34
INV-2024-00074,2024-01-24,16:06,A,Delhi,Member,Female,Electronics,Smart Watch,4112.85,2,0.0,UPI,7.0,2837.87
INV-2024-00075,2024-01-06,18:35,A,Delhi,Member,Male,Clothing,Sports Shoes,2656.02,2,0.1,UPI,7.1,1620.17
INV-2024-00076,2024-01-28,16:25,A,Delhi,Normal,Male,Clothing,Jacket,3174.75,1,0.2,UPI,8.2,1936.6
INV-2024-00077,2024-01-30,14:32,C,Bengaluru,Member,Male,Home & Kitchen,Storage Set,646.25,6,0.05,UPI,6.8,426.52
INV-2024-00078,2024-03-03,19:41,B,Mumbai,Member,Female,Electronics,Earbuds,2308.95,4,0.1,Card,7.5,1593.18
INV-2024-00079,2024-02-23,10:39,A,Delhi,Normal,Female,Electronics,Bluetooth Speaker,2852.75,1,0.0,Cash,7.0,1968.4
INV-2024-00080,2024-03-14,12:20,B,Mumbai,Member,Male,Personal Care,Shampoo,479.48,4,0.05,Card,8.7,278.1
INV-2024-00081,2024-03-03,15:14,A,Delhi,Normal,Female,Sports,Dumbbell Set,2537.48,1,0.0,UPI,7.8,1623.99
INV-2024-00082,2024-02-09,18:52,A,Delhi,Normal,Female,Groceries,Rice 5kg,625.88,4,0.0,Cash,7.4,513.22
INV-2024-00083,2024-03-16,19:56,C,Bengaluru,Member,Male,Home & Kitchen,Cookware Set,2317.7,1,0.1,Card,7.8,1529.68
INV-2024-00084,2024-01-17,16:18,C,Bengaluru,Member,Male,Groceries,Cooking Oil,831.3,2,0.05,Card,7.0,681.67
INV-2024-00085,2024-01-03,18:42,C,Bengaluru,Normal,Male,Groceries,Cooking Oil,753.17,3,0.1,Card,7.3,617.6
INV-2024-00086,2024-01-10,15:48,B,Mumbai,Normal,Male,Electronics,Smart Watch,4044.11,2,0.15,Card,7.4,2790.44
INV-2024-00087,2024-03-09,14:29,C,Bengaluru,Normal,Male,Clothing,Jacket,3233.13,3,0.2,Card,9.3,1972.21
INV-2024-00088,2024-02-14,17:10,B,Mumbai,Normal,Female,Clothing,Sports Shoes,2451.4,1,0.15,UPI,7.5,1495.35
INV-2024-00089,2024-01-17,09:50,B,Mumbai,Member,Male,Electronics,Power Bank,1569.83,3,0.05,UPI,9.5,1083.18
INV-2024-00090,2024-02-18,13:53,B,Mumbai,Normal,Male,Groceries,Cooking Oil,852.9,2,0.0,Cash,9.3,699.38
INV-2024-00091,2024-01-16,19:20,B,Mumbai,Member,Female,Clothing,Jeans,1803.12,3,0.1,Cash,9.1,1099.9
INV-2024-00092,2024-03-06,16:58,C,Bengaluru,Normal,Female,Electronics,Power Bank,1561.83,2,0.15,UPI,7.1,1077.66
INV-2024-00093,2024-02-13,18:23,C,Bengaluru,Member,Male,Groceries,Dry Fruits,983.82,4,0.05,UPI,8.4,806.73
INV-2024-00094,2024-02-07,15:46,A,Delhi,Normal,Male,Clothing,Jacket,2780.38,1,0.1,Cash,8.7,1696.03
INV-2024-00095,2024-01-30,17:26,A,Delhi,Member,Female,Sports,Yoga Mat,847.68,1,0.05,UPI,5.7,542.52
INV-2024-00096,2024-03-01,17:19,B,Mumbai,Normal,Male,Clothing,Jeans,1701.06,2,0.1,Card,8.0,1037.65
INV-2024-00097,2024-02-05,17:27,C,Bengaluru,Normal,Male,Groceries,Dry Fruits,902.84,3,0.15,Card,9.4,740.33
INV-2024-00098,2024-01-09,13:35,A,Delhi,Normal,Female,Groceries,Cooking Oil,730.62,3,0.1,UPI,8.1,599.11
INV-2024-00099,2024-01-13,19:21,B,Mumbai,Member,Female,Home & Kitchen,Cookware Set,2285.06,2,0.0,UPI,8.7,1508.14
INV-2024-00100,2024-03-29,20:52,A,Delhi,Member,Female,Groceries,Dry Fruits,906.11,1,0.2,Card,7.7,743.01
INV-2024-00101,2024-03-24,19:36,A,Delhi,Member,Female,Groceries,Breakfast Cereal,352.84,4,0.15,UPI,10.0,289.33
INV-2024-00102,2024-03-07,21:11,A,Delhi,Member,Male,Clothing,T-Shirt,811.82,1,0.1,Card,9.5,495.21
INV-2024-00103,2024-01-27,16:17,A,Delhi,Member,Female,Groceries,Cooking Oil,734.49,3,0.15,Card,8.3,602.28
INV-2024-00104,2024-03-29,21:44,C,Bengaluru,Normal,Male,Groceries,Breakfast Cereal,394.0,4,0.1,Card,8.3,323.08
INV-2024-00105,2024-03-13,19:30,C,Bengaluru,Member,Male,Clothing,Jacket,3099.58,1,0.15000000000000002,Cash,7.5,1890.74
INV-2024-00106,2024-03-08,14:34,A,Delhi,Normal,Female,Clothing,Jacket,2970.79,4,0.1,Cash,8.3,1812.18
INV-2024-00107,2024-02-13,19:05,B,Mumbai,Member,Male,Clothing,T-Shirt,800.47,1,0.0,UPI,5.7,488.29
INV-2024-00108,2024-01-28,12:15,A,Delhi,Normal,Male,Groceries,Cooking Oil,758.23,3,0.2,Card,8.3,621.75
INV-2024-00109,2024-01-10,21:39,B,Mumbai,Normal,Female,Groceries,Rice 5kg,619.14,4,0.1,Card,9.1,507.69
INV-2024-00110,2024-03-24,13:05,C,Bengaluru,Normal,Female,Sports,Cricket Bat,2146.2,5,0.05,Card,7.5,1373.57
INV-2024-00111,2024-02-14,17:19,A,Delhi,Member,Female,Electronics,Smart Watch,3944.79,4,0.1,UPI,7.5,2721.91
INV-2024-00112,2024-01-21,18:10,A,Delhi,Member,Female,Groceries,Dry Fruits,894.91,4,0.15000000000000002,UPI,9.6,733.83
INV-2024-00113,2024-01-31,19:25,A,Delhi,Normal,Male,Groceries,Breakfast Cereal,351.49,3,0.1,UPI,9.3,288.22
INV-2024-00114,2024-02-25,17:56,B,Mumbai,Normal,Female,Groceries,Breakfast Cereal,376.34,3,0.05,Card,9.2,308.6
INV-2024-00115,2024-01-18,17:40,B,Mumbai,Normal,Female,Groceries,Cooking Oil,815.97,2,0.2,UPI,5.2,669.1
INV-2024-00116,2024-03-20,13:22,B,Mumbai,Normal,Female,Groceries,Breakfast Cereal,354.55,2,0.1,Card,5.7,290.73
INV-2024-00117,2024-03-11,14:56,A,Delhi,Normal,Female,Groceries,Rice 5kg,590.61,2,0.1,Cash,9.1,484.3
INV-2024-00118,2024-03-08,16:00,C,Bengaluru,Member,Male,Groceries,Rice 5kg,667.06,3,0.15000000000000002,Cash,8.4,546.99
INV-2024-00119,2024-02-11,17:15,A,Delhi,Normal,Female,Sports,Dumbbell Set,2547.01,5,0.05,UPI,6.5,1630.09
INV-2024-00120,2024-03-01,17:08,C,Bengaluru,Normal,Male,Electronics,Power Bank,1574.05,3,0.0,Cash,7.3,1086.09
INV-2024-00121,2024-02-25,15:28,C,Bengaluru,Member,Female,Clothing,T-Shirt,819.51,2,0.0,Cash,8.1,499.9
INV-2024-00122,2024-03-02,17:55,A,Delhi,Normal,Female,Groceries,Cooking Oil,793.97,1,0.15,UPI,5.9,651.06
INV-2024-00123,2024-01-09,16:15,A,Delhi,Normal,Male,Clothing,T-Shirt,758.81,1,0.0,UPI,6.5,462.87
INV-2024-00124,2024-02-10,14:12,A,Delhi,Normal,Female,Personal Care,Shampoo,480.92,5,0.05,Card,6.1,278.93
INV-2024-00125,2024-01-05,14:56,A,Delhi,Member,Female,Sports,Yoga Mat,876.69,1,0.05,UPI,6.1,561.08
INV-2024-00126,2024-02-17,17:08,C,Bengaluru,Member,Male,Groceries,Rice 5kg,584.23,2,0.0,UPI,6.6,479.07
INV-2024-00127,2024-02-02,11:34,A,Delhi,Member,Female,Groceries,Rice 5kg,667.58,6,0.0,UPI,8.1,547.42
INV-2024-00128,2024-01-15,15:00,A,Delhi,Member,Female,Groceries,Rice 5kg,594.3,2,0.05,Card,7.1,487.33
INV-2024-00129,2024-01-11,12:09,B,Mumbai,Member,Female,Electronics,Power Bank,1510.58,3,0.15,UPI,7.7,1042.3
INV-2024-00130,2024-02-26,20:13,A,Delhi,Member,Male,Home & Kitchen,Storage Set,717.22,3,0.15000000000000002,Card,9.1,473.37
INV-2024-00131,2024-01-18,15:38,B,Mumbai,Member,Female,Groceries,Breakfast Cereal,376.5,2,0.05,Cash,7.6,308.73
INV-2024-00132,2024-03-25,15:15,A,Delhi,Member,Male,Clothing,Jacket,3021.63,3,0.15000000000000002,Cash,6.6,1843.19
INV-2024-00133,2024-02-25,21:57,B,Mumbai,Normal,Female,Groceries,Cooking Oil,741.81,1,0.1,Card,7.9,608.28
INV-2024-00134,2024-02-04,16:10,B,Mumbai,Normal,Male,Sports,Fitness Band,1279.59,1,0.0,UPI,7.1,818.94
INV-2024-00135,2024-02-26,14:22,A,Delhi,Normal,Female,Groceries,Rice 5kg,631.61,5,0.05,UPI,8.2,517.92
INV-2024-00136,2024-01-03,15:50,A,Delhi,Member,Male,Home & Kitchen,Bedsheet,1063.77,3,0.1,Card,7.3,702.09
INV-2024-00137,2024-03-28,18:54,A,Delhi,Normal,Female,Groceries,Cooking Oil,831.43,2,0.15,Card,7.0,681.77
INV-2024-00138,2024-02-16,16:35,C,Bengaluru,Member,Female,Groceries,Breakfast Cereal,410.19,4,0.2,Card,7.1,336.36
INV-2024-00139,2024-03-14,16:54,C,Bengaluru,Normal,Male,Personal Care,Perfume,1476.29,2,0.05,Card,7.4,856.25
INV-2024-00140,2024-01-09,15:23,B,Mumbai,Member,Female,Personal Care,Perfume,1647.71,1,0.05,UPI,8.4,955.67
INV-2024-00141,2024-02-17,09:26,B,Mumbai,Normal,Male,Clothing,Jeans,1784.87,1,0.15,UPI,6.8,1088.77
INV-2024-00142,2024-02-17,09:23,B,Mumbai,Member,Male,Personal Care,Shampoo,482.19,2,0.05,UPI,6.8,279.67
INV-2024-00143,2024-03-26,18:33,B,Mumbai,Normal,Female,Home & Kitchen,Mixer Grinder,3102.32,3,0.15,Cash,6.4,2047.53
INV-2024-00144,2024-02-24,16:06,A,Delhi,Member,Female,Personal Care,Perfume,1684.93,2,0.05,UPI,8.4,977.26
INV-2024-00145,2024-02-15,19:10,A,Delhi,Member,Female,Personal Care,Perfume,1663.24,3,0.0,UPI,8.3,964.68
INV-2024-00146,2024-01-27,11:41,A,Delhi,Member,Male,Electronics,Bluetooth Speaker,2606.95,3,0.05,UPI,6.6,1798.8
INV-2024-00147,2024-02-03,19:20,A,Delhi,Member,Female,Electronics,Smart Watch,3842.74,2,0.1,Card,6.5,2651.49
INV-2024-00148,2024-02-20,19:04,A,Delhi,Member,Female,Home & Kitchen,Bedsheet,1051.45,4,0.1,Card,5.3,693.96
INV-2024-00149,2024-02-12,19:51,A,Delhi,Member,Female,Groceries,Cooking Oil,833.76,1,0.0,UPI,9.0,683.68
INV-2024-00150,2024-01-03,14:16,C,Bengaluru,Normal,Male,Sports,Fitness Band,1301.46,3,0.1,Card,8.0,832.93
INV-2024-00151,2024-03-17,19:59,B,Mumbai,Normal,Female,Home & Kitchen,Bedsheet,983.77,1,0.0,Card,5.0,649.29
INV-2024-00152,2024-03-23,20:21,B,Mumbai,Member,Female,Electronics,Bluetooth Speaker,3020.36,1,0.05,UPI,9.1,2084.05
INV-2024-00153,2024-01-14,16:35,C,Bengaluru,Member,Male,Electronics,Bluetooth Speaker,2786.36,3,0.1,UPI,8.5,1922.59
INV-2024-00154,2024-02-23,20:07,B,Mumbai,Member,Male,Electronics,Earbuds,2114.06,4,0.1,Cash,7.5,1458.7
INV-2024-00155,2024-01-12,17:51,B,Mumbai,Normal,Female,Home & Kitchen,Mixer Grinder,3141.47,1,0.1,Card,7.9,2073.37
INV-2024-00156,2024-03-04,10:55,A,Delhi,Normal,Female,Personal Care,Skin Care Kit,1116.57,4,0.05,Card,7.7,647.61
INV-2024-00157,2024-01-28,13:07,A,Delhi,Normal,Female,Personal Care,Trimmer,1979.83,5,0.1,Cash,7.5,1148.3
INV-2024-00158,2024-03-03,20:04,B,Mumbai,Member,Female,Electronics,Bluetooth Speaker,2792.8,2,0.15000000000000002,Card,9.2,1927.03
INV-2024-00159,2024-03-09,16:58,C,Bengaluru,Member,Female,Clothing,Sports Shoes,2412.64,2,0.1,UPI,9.3,1471.71
INV-2024-00160,2024-03-12,20:10,C,Bengaluru,Member,Male,Clothing,T-Shirt,763.85,2,0.0,Cash,9.4,465.95
INV-2024-00161,2024-01-11,13:09,C,Bengaluru,Normal,Female,Groceries,Dry Fruits,928.62,2,0.1,Card,6.3,761.47
INV-2024-00162,2024-03-24,09:46,C,Bengaluru,Normal,Female,Electronics,Bluetooth Speaker,2841.79,2,0.0,Cash,6.8,1960.84
INV-2024-00163,2024-01-23,12:22,A,Delhi,Normal,Female,Electronics,Power Bank,1507.33,4,0.0,Card,7.7,1040.06
INV-2024-00164,2024-01-04,17:10,B,Mumbai,Member,Male,Groceries,Dry Fruits,878.53,2,0.0,Cash,9.0,720.39
INV-2024-00165,2024-02-23,13:34,B,Mumbai,Normal,Male,Groceries,Dry Fruits,921.83,3,0.0,UPI,7.4,755.9
INV-2024-00166,2024-02-06,09:22,B,Mumbai,Normal,Female,Groceries,Dry Fruits,974.39,6,0.15,UPI,7.2,799.0
INV-2024-00167,2024-03-17,16:02,C,Bengaluru,Member,Male,Clothing,Jeans,1698.63,1,0.05,Cash,7.4,1036.16
INV-2024-00168,2024-03-16,10:54,A,Delhi,Normal,Male,Groceries,Rice 5kg,593.99,3,0.05,UPI,8.7,487.07
INV-2024-00169,2024-02-01,14:47,A,Delhi,Normal,Male,Clothing,Sports Shoes,2414.39,1,0.1,Cash,6.9,1472.78
INV-2024-00170,2024-03-28,16:06,A,Delhi,Member,Male,Sports,Cricket Bat,1845.11,4,0.1,UPI,7.1,1180.87
INV-2024-00171,2024-01-29,18:23,B,Mumbai,Member,Female,Electronics,Power Bank,1589.52,2,0.0,UPI,5.5,1096.77
INV-2024-00172,2024-02-19,11:17,C,Bengaluru,Member,Male,Groceries,Breakfast Cereal,383.52,4,0.1,UPI,5.9,314.49
INV-2024-00173,2024-01-26,16:46,A,Delhi,Normal,Female,Clothing,Jacket,3078.76,1,0.05,UPI,7.9,1878.04
INV-2024-00174,2024-03-26,14:59,B,Mumbai,Member,Male,Electronics,Power Bank,1447.14,3,0.2,UPI,6.3,998.53
INV-2024-00175,2024-01-17,18:15,C,Bengaluru,Normal,Female,Home & Kitchen,Cookware Set,2587.14,3,0.0,Cash,6.6,1707.51
INV-2024-00176,2024-01-05,17:39,C,Bengaluru,Member,Male,Electronics,Smart Watch,3783.21,4,0.05,UPI,10.0,2610.41
INV-2024-00177,2024-02-12,18:04,B,Mumbai,Member,Female,Personal Care,Trimmer,1951.27,6,0.15000000000000002,Cash,7.9,1131.74
INV-2024-00178,2024-03-31,18:53,A,Delhi,Normal,Female,Clothing,T-Shirt,860.11,1,0.0,UPI,6.5,524.67
INV-2024-00179,2024-03-23,18:37,C,Bengaluru,Normal,Male,Groceries,Cooking Oil,754.33,2,0.1,Cash,8.6,618.55
INV-2024-00180,2024-03-10,14:40,B,Mumbai,Member,Male,Groceries,Rice 5kg,591.76,2,0.0,Cash,8.8,485.24
INV-2024-00181,2024-03-23,13:37,C,Bengaluru,Member,Male,Electronics,Smart Watch,3887.64,2,0.0,UPI,7.5,2682.47
INV-2024-00182,2024-03-23,13:41,A,Delhi,Member,Female,Groceries,Rice 5kg,669.08,2,0.0,UPI,8.7,548.65
INV-2024-00183,2024-02-19,12:50,C,Bengaluru,Member,Male,Groceries,Rice 5kg,627.37,5,0.1,Cash,6.8,514.44
INV-2024-00184,2024-02-01,19:04,B,Mumbai,Member,Female,Groceries,Rice 5kg,600.8,2,0.05,Card,8.0,492.66
INV-2024-00185,2024-03-13,19:06,A,Delhi,Member,Female,Electronics,Earbuds,2282.44,4,0.15,Cash,8.0,1574.88
INV-2024-00186,2024-03-03,19:28,A,Delhi,Normal,Male,Home & Kitchen,Mixer Grinder,3246.33,3,0.05,Card,9.2,2142.58
INV-2024-00187,2024-02-06,12:26,A,Delhi,Member,Male,Sports,Fitness Band,1229.86,2,0.0,Cash,8.6,787.11
INV-2024-00188,2024-01-10,17:11,A,Delhi,Normal,Male,Clothing,T-Shirt,804.51,2,0.0,UPI,7.6,490.75
INV-2024-00189,2024-03-10,16:48,A,Delhi,Normal,Male,Groceries,Dry Fruits,909.97,5,0.0,Card,6.3,746.18
INV-2024-00190,2024-01-27,13:07,B,Mumbai,Member,Male,Electronics,Power Bank,1387.82,1,0.1,Cash,6.5,957.6
INV-2024-00191,2024-03-26,16:11,B,Mumbai,Member,Male,Electronics,Bluetooth Speaker,3018.19,2,0.15,Card,6.9,2082.55
INV-2024-00192,2024-01-25,14:55,B,Mumbai,Member,Female,Clothing,Jeans,1859.28,1,0.1,UPI,7.1,1134.16
INV-2024-00193,2024-01-13,11:00,A,Delhi,Member,Male,Groceries,Breakfast Cereal,405.31,2,0.05,Cash,9.5,332.35
INV-2024-00194,2024-03-17,16:44,A,Delhi,Normal,Female,Groceries,Dry Fruits,922.01,1,0.0,Card,8.6,756.05
INV-2024-00195,2024-01-16,10:45,B,Mumbai,Member,Female,Personal Care,Perfume,1575.62,3,0.1,Card,6.9,913.86
INV-2024-00196,2024-01-19,16:40,B,Mumbai,Normal,Male,Clothing,T-Shirt,799.08,1,0.0,Card,8.4,487.44
INV-2024-00197,2024-02-27,16:39,B,Mumbai,Member,Male,Groceries,Cooking Oil,801.83,4,0.0,Card,6.5,657.5
INV-2024-00198,2024-03-21,12:49,A,Delhi,Member,Female,Groceries,Dry Fruits,939.22,3,0.05,UPI,7.2,770.16
