student_id,school,grade,section,gender,age,attendance_pct,study_hours_daily,internet_access,parent_education,mathematics,science,english,social_science,computer,average_score,median_score,subjects_passed,result,performance_band,at_risk
STU-0029,South Public,11,A,Male,16,62.8,0.2,Yes,Secondary,36.0,53.7,47.9,55.3,49.5,48.48,49.5,4,Fail,Average,Yes
STU-0030,South Public,10,C,Male,15,68.2,1.0,No,Graduate,54.1,38.2,69.6,50.7,63.7,55.260000000000005,54.1,4,Fail,Average,Yes
STU-0031,West Senior,12,B,Male,17,84.7,2.1,No,Graduate,57.9,56.5,64.0,53.1,60.3,58.36,57.9,5,Pass,Average,No
STU-0032,East Model,9,B,Female,14,85.4,2.5,Yes,Primary,75.4,70.4,56.1,69.6,71.4,68.58,70.4,5,Pass,Good,No
STU-0033,North Academy,11,A,Female,16,80.5,3.3,Yes,Postgraduate,80.5,63.1,65.5,67.1,61.2,67.47999999999999,65.5,5,Pass,Good,No
STU-0034,North Academy,11,A,Male,17,83.1,2.8,Yes,Graduate,59.0,72.2,83.1,77.7,86.3,75.66,77.7,5,Pass,Very Good,No
STU-0035,South Public,12,C,Female,17,87.0,4.4,Yes,Graduate,67.4,71.3,83.2,71.5,66.9,72.05999999999999,71.3,5,Pass,Good,No
STU-0036,South Public,11,A,Female,16,70.5,2.4,Yes,Graduate,61.6,74.1,63.5,60.8,63.6,64.72,63.5,5,Pass,Good,Yes
STU-0037,East Model,9,C,Female,14,88.2,2.3,Yes,Secondary,60.6,92.3,90.8,57.5,76.1,75.46,76.1,5,Pass,Very Good,No
STU-0038,East Model,11,C,Female,17,73.2,1.6,No,Graduate,47.0,49.7,57.7,50.4,63.2,53.6,50.4,5,Pass,Average,Yes
STU-0039,East Model,10,A,Male,15,84.5,2.5,No,Graduate,61.3,72.5,64.7,56.0,88.1,68.52000000000001,64.7,5,Pass,Good,No
STU-0040,South Public,9,A,Female,14,93.2,0.8,Yes,Primary,61.7,59.9,86.3,50.6,72.4,66.17999999999999,61.7,5,Pass,Good,No
STU-0041,East Model,10,B,Female,15,90.2,4.5,No,Secondary,70.5,62.4,65.6,69.6,88.0,71.22,69.6,5,Pass,Good,No
STU-0042,South Public,10,B,Female,16,80.3,2.8,Yes,Primary,51.0,52.4,87.9,69.9,76.4,67.52000000000001,69.9,5,Pass,Good,No
STU-0043,South Public,9,B,Female,14,76.4,2.3,Yes,Secondary,71.6,71.7,76.3,83.4,52.5,71.1,71.7,5,Pass,Good,No
STU-0044,North Academy,12,B,Male,17,87.7,2.7,Yes,Secondary,80.3,59.3,63.7,73.4,91.3,73.60000000000001,73.4,5,Pass,Good,No
STU-0045,East Model,12,B,Male,18,93.3,5.6,Yes,Primary,75.4,82.1,93.8,77.2,80.1,81.72,80.1,5,Pass,Very Good,No
STU-0046,West Senior,11,A,Male,17,78.9,0.7,Yes,Postgraduate,61.5,45.3,54.9,57.4,59.3,55.67999999999999,57.4,5,Pass,Average,No
STU-0047,East Model,11,B,Male,16,86.5,3.9,Yes,Secondary,59.8,63.5,48.5,95.4,76.3,68.70000000000002,63.5,5,Pass,Good,No
STU-0048,North Academy,11,B,Female,17,72.8,2.5,Yes,Graduate,55.4,57.1,64.7,62.1,60.3,59.919999999999995,60.3,5,Pass,Good,Yes
STU-0049,North Academy,10,A,Female,15,88.7,1.7,No,Primary,61.7,68.6,64.2,68.2,52.9,63.11999999999999,64.2,5,Pass,Good,No
STU-0050,North Academy,9,A,Male,14,92.8,3.2,No,Primary,66.1,73.8,85.4,83.0,78.1,77.28,78.1,5,Pass,Very Good,No
STU-0051,East Model,9,C,Female,14,73.0,0.3,No,Postgraduate,48.3,48.1,73.7,58.3,61.8,58.040000000000006,58.3,5,Pass,Average,Yes
STU-0052,West Senior,12,C,Female,17,94.9,2.3,Yes,Secondary,42.7,52.1,59.7,82.2,75.0,62.339999999999996,59.7,5,Pass,Good,No
STU-0053,West Senior,10,A,Male,15,68.8,1.1,Yes,Postgraduate,75.3,64.4,60.0,49.0,63.0,62.339999999999996,63.0,5,Pass,Good,Yes
STU-0054,West Senior,11,A,Female,16,75.0,2.2,Yes,Primary,61.3,57.6,88.7,52.5,66.0,65.22,61.3,5,Pass,Good,No
STU-0055,East Model,10,C,Female,16,60.0,0.8,Yes,Secondary,51.8,50.6,54.8,62.1,47.9,53.44,51.8,5,Pass,Average,Yes
STU-0056,North Academy,10,C,Female,15,78.3,3.9,Yes,Postgraduate,50.6,70.8,64.4,76.4,82.8,69.00000000000001,70.8,5,Pass,Good,No
STU-0057,East Model,11,C,Male,16,79.1,5.9,No,Secondary,82.4,72.1,93.2,94.0,80.2,84.38,82.4,5,Pass,Very Good,No
STU-0058,South Public,11,B,Male,16,93.5,2.0,Yes,Secondary,65.3,53.9,52.0,73.6,92.8,67.52,65.3,5,Pass,Good,No
STU-0059,West Senior,9,A,Male,15,87.7,1.8,Yes,Postgraduate,83.0,73.5,67.2,93.6,78.9,79.23999999999998,78.9,5,Pass,Very Good,No
STU-0060,North Academy,10,A,Female,15,73.4,1.5,Yes,Secondary,63.7,34.6,60.4,56.0,59.8,54.9,59.8,4,Fail,Average,Yes
STU-0061,North Academy,9,B,Male,15,82.5,2.9,Yes,Graduate,85.9,75.7,62.1,68.6,72.1,72.88,72.1,5,Pass,Good,No
STU-0062,East Model,9,B,Male,15,75.4,4.9,Yes,Graduate,69.8,77.8,64.8,79.3,65.3,71.4,69.8,5,Pass,Good,No
STU-0063,North Academy,12,A,Male,17,72.6,1.8,Yes,Primary,57.1,54.0,60.6,67.0,66.3,61.0,60.6,5,Pass,Good,Yes
STU-0064,East Model,11,C,Female,17,88.6,0.2,Yes,Primary,60.8,58.1,65.8,50.6,48.4,56.739999999999995,58.1,5,Pass,Average,No
STU-0065,North Academy,9,C,Male,14,69.4,2.6,Yes,Secondary,57.0,48.6,71.8,64.6,62.8,60.959999999999994,62.8,5,Pass,Good,Yes
STU-0066,East Model,11,A,Male,16,85.8,3.8,Yes,Graduate,76.0,68.2,67.5,81.7,92.6,77.2,76.0,5,Pass,Very Good,No
STU-0067,East Model,12,A,Male,17,74.5,1.5,Yes,Secondary,57.3,72.5,56.4,71.4,60.1,63.540000000000006,60.1,5,Pass,Good,Yes
STU-0068,West Senior,10,B,Male,16,93.0,3.1,No,Graduate,54.6,67.2,68.6,76.3,61.1,65.56,67.2,5,Pass,Good,No
STU-0069,South Public,12,A,Male,18,74.0,1.3,Yes,Primary,43.2,64.8,79.0,45.4,67.2,59.92,64.8,5,Pass,Good,Yes
STU-0070,South Public,11,B,Male,17,76.0,0.5,No,Graduate,48.6,58.7,64.0,60.5,53.8,57.120000000000005,58.7,5,Pass,Average,No
STU-0071,North Academy,11,A,Female,16,79.2,0.4,Yes,Secondary,46.1,62.2,56.4,56.0,74.4,59.02,56.4,5,Pass,Good,No
STU-0072,East Model,12,B,Female,17,84.1,1.7,Yes,Postgraduate,52.9,68.2,58.6,71.2,67.3,63.64,67.3,5,Pass,Good,No
STU-0073,West Senior,12,B,Male,17,90.8,3.2,Yes,Primary,65.9,68.0,88.8,76.9,69.5,73.82000000000001,69.5,5,Pass,Good,No
STU-0074,East Model,9,A,Female,14,82.7,0.3,Yes,Secondary,57.5,56.5,64.9,63.7,63.7,61.260000000000005,63.7,5,Pass,Good,No
STU-0075,West Senior,11,C,Male,16,96.2,1.1,Yes,Secondary,70.0,78.0,72.8,55.8,85.7,72.46000000000001,72.8,5,Pass,Good,No
STU-0076,East Model,9,A,Female,15,86.4,3.8,Yes,Graduate,66.7,78.7,73.9,89.2,75.1,76.72,75.1,5,Pass,Very Good,No
STU-0077,North Academy,11,A,Female,17,83.6,3.2,Yes,Secondary,69.7,62.5,55.8,82.1,71.8,68.38000000000001,69.7,5,Pass,Good,No
STU-0078,East Model,11,B,Female,16,91.0,1.2,Yes,Secondary,65.1,48.1,66.7,66.7,69.2,63.15999999999999,66.7,5,Pass,Good,No
STU-0079,West Senior,12,C,Female,17,91.0,4.8,No,Graduate,70.3,74.6,87.4,80.8,84.3,79.47999999999999,80.8,5,Pass,Very Good,No
STU-0080,West Senior,12,B,Male,17,93.8,1.8,Yes,Primary,63.6,59.3,68.2,63.8,62.5,63.480000000000004,63.6,5,Pass,Good,No
STU-0081,West Senior,10,C,Female,16,85.0,0.9,Yes,Primary,55.9,71.1,46.5,53.4,83.3,62.04,55.9,5,Pass,Good,No
STU-0082,East Model,9,C,Male,15,91.4,2.2,Yes,Secondary,55.9,64.5,77.5,91.0,80.7,73.91999999999999,77.5,5,Pass,Good,No
STU-0083,North Academy,9,C,Female,15,84.6,1.7,Yes,Secondary,61.6,52.1,56.4,60.6,63.6,58.86,60.6,5,Pass,Average,No
STU-0084,South Public,11,A,Male,16,75.9,1.5,Yes,Postgraduate,60.4,42.1,72.6,70.9,70.7,63.339999999999996,70.7,5,Pass,Good,No
STU-0085,West Senior,9,B,Male,14,85.9,1.1,Yes,Graduate,61.7,60.6,69.5,70.6,61.0,64.67999999999999,61.7,5,Pass,Good,No
STU-0086,East Model,11,B,Male,17,78.5,2.4,Yes,Primary,57.2,34.7,64.5,64.3,64.2,56.98,64.2,4,Fail,Average,Yes
STU-0087,South Public,11,B,Male,17,82.0,0.4,Yes,Primary,61.7,59.2,68.7,69.0,68.0,65.32000000000001,68.0,5,Pass,Good,No
STU-0088,North Academy,10,A,Female,16,87.8,1.4,Yes,Graduate,69.8,64.5,44.0,68.4,66.5,62.64000000000001,66.5,5,Pass,Good,No
STU-0089,South Public,9,A,Male,15,76.7,1.1,No,Graduate,52.5,67.1,41.9,73.5,59.6,58.92,59.6,5,Pass,Average,No
STU-0090,South Public,9,B,Male,14,67.3,4.7,No,Primary,70.7,64.0,75.7,72.7,62.6,69.14,70.7,5,Pass,Good,Yes
STU-0091,South Public,10,B,Male,15,88.2,2.4,No,Primary,75.5,85.2,64.4,67.4,69.6,72.42,69.6,5,Pass,Good,No
STU-0092,East Model,11,B,Female,16,99.0,1.8,Yes,Secondary,51.0,77.4,75.2,63.1,55.9,64.52000000000001,63.1,5,Pass,Good,No
STU-0093,West Senior,9,B,Male,14,69.2,1.3,No,Primary,65.4,73.5,53.8,45.4,58.6,59.339999999999996,58.6,5,Pass,Good,Yes
STU-0094,North Academy,12,A,Female,17,74.7,1.6,No,Secondary,73.4,53.8,70.1,75.0,52.0,64.86,70.1,5,Pass,Good,Yes
STU-0095,West Senior,12,C,Female,17,100.0,1.4,Yes,Graduate,77.1,53.4,89.4,66.8,50.4,67.41999999999999,66.8,5,Pass,Good,No
STU-0096,South Public,12,C,Male,17,78.4,3.4,Yes,Primary,52.8,61.2,65.3,76.2,92.8,69.66,65.3,5,Pass,Good,No
STU-0097,North Academy,10,A,Female,15,49.3,1.3,Yes,Graduate,30.5,54.5,60.3,49.7,46.1,48.22,49.7,4,Fail,Average,Yes
STU-0098,North Academy,11,A,Female,16,98.7,2.1,Yes,Secondary,80.3,71.4,85.9,71.2,59.2,73.6,71.4,5,Pass,Good,No
STU-0099,North Academy,11,C,Male,16,87.6,4.9,No,Secondary,42.9,87.9,90.8,70.2,75.8,73.52000000000001,75.8,5,Pass,Good,No
STU-0100,South Public,11,B,Female,16,93.5,1.4,Yes,Primary,62.9,61.7,79.8,57.5,53.2,63.019999999999996,61.7,5,Pass,Good,No
STU-0101,North Academy,11,B,Male,16,87.8,1.1,Yes,Primary,65.4,55.4,59.7,73.2,73.9,65.52000000000001,65.4,5,Pass,Good,No
STU-0102,North Academy,10,C,Female,15,76.3,3.4,Yes,Primary,72.8,91.7,79.5,75.9,82.6,80.5,79.5,5,Pass,Very Good,No
STU-0103,South Public,10,A,Female,15,89.8,1.6,Yes,Secondary,78.6,81.3,68.0,67.6,62.4,71.58,68.0,5,Pass,Good,No
STU-0104,East Model,10,B,Male,15,65.6,4.4,Yes,Postgraduate,70.4,74.9,78.9,68.6,67.0,71.96000000000001,70.4,5,Pass,Good,Yes
STU-0105,West Senior,9,B,Female,14,86.7,2.8,Yes,Secondary,61.0,86.3,65.9,73.9,83.8,74.18,73.9,5,Pass,Very Good,No
STU-0106,East Model,12,B,Female,17,81.6,3.3,Yes,Graduate,65.6,63.9,64.2,72.3,92.1,71.62,65.6,5,Pass,Good,No
STU-0107,South Public,9,B,Female,14,89.1,2.0,No,Graduate,67.2,81.1,71.2,74.5,86.9,76.17999999999999,74.5,5,Pass,Very Good,No
STU-0108,West Senior,10,C,Female,15,73.0,2.4,Yes,Graduate,68.7,72.6,80.8,65.4,60.1,69.52000000000001,68.7,5,Pass,Good,Yes
STU-0109,South Public,10,B,Female,16,83.1,4.3,Yes,Secondary,61.1,70.7,57.5,83.4,82.5,71.04,70.7,5,Pass,Good,No
STU-0110,West Senior,12,C,Female,18,84.8,1.5,Yes,Postgraduate,61.6,51.8,46.2,50.8,69.1,55.9,51.8,5,Pass,Average,No
STU-0111,South Public,9,A,Male,14,81.1,2.3,Yes,Primary,62.6,71.6,72.7,57.8,79.5,68.84,71.6,5,Pass,Good,No
STU-0112,South Public,11,B,Male,17,76.9,2.0,Yes,Postgraduate,68.4,59.0,73.6,75.9,73.7,70.11999999999999,73.6,5,Pass,Good,No
STU-0113,North Academy,10,B,Male,16,89.3,1.5,Yes,Secondary,57.2,71.6,70.4,82.3,67.5,69.8,70.4,5,Pass,Good,No
STU-0114,West Senior,12,C,Male,18,59.6,0.9,Yes,Graduate,67.1,57.4,47.4,53.2,47.8,54.580000000000005,53.2,5,Pass,Average,Yes
STU-0115,West Senior,10,A,Male,15,76.0,3.9,Yes,Secondary,55.0,55.8,77.8,67.0,83.7,67.86,67.0,5,Pass,Good,No
STU-0116,South Public,10,B,Female,16,69.8,1.7,Yes,Secondary,64.8,60.9,59.8,62.3,65.5,62.660000000000004,62.3,5,Pass,Good,Yes
STU-0117,North Academy,12,A,Female,17,71.0,4.4,Yes,Postgraduate,86.8,67.7,89.2,72.3,50.3,73.26,72.3,5,Pass,Good,Yes
STU-0118,North Academy,11,C,Male,16,100.0,2.8,Yes,Secondary,72.0,69.7,67.8,72.9,69.7,70.41999999999999,69.7,5,Pass,Good,No
STU-0119,North Academy,10,B,Female,15,74.9,1.9,No,Graduate,50.8,75.8,74.6,60.9,61.6,64.74,61.6,5,Pass,Good,Yes
STU-0120,South Public,9,B,Male,15,89.1,3.1,Yes,Graduate,60.8,79.1,71.9,64.1,96.0,74.38,71.9,5,Pass,Very Good,No
STU-0121,East Model,11,A,Male,16,75.1,3.7,Yes,Graduate,55.8,61.5,68.1,74.4,84.2,68.79999999999998,68.1,5,Pass,Good,No
STU-0122,South Public,11,B,Male,16,82.9,3.1,No,Postgraduate,48.4,61.5,55.2,66.2,71.4,60.540000000000006,61.5,5,Pass,Good,No
STU-0123,East Model,11,C,Female,16,91.8,0.2,Yes,Primary,59.0,49.1,59.3,51.2,54.6,54.64,54.6,5,Pass,Average,No
STU-0124,North Academy,11,C,Male,16,79.3,2.0,Yes,Secondary,82.8,60.0,60.4,81.0,69.0,70.64000000000001,69.0,5,Pass,Good,No
STU-0125,West Senior,10,B,Female,15,82.1,3.4,Yes,Graduate,59.1,81.1,77.6,63.8,75.9,71.5,75.9,5,Pass,Good,No
STU-0126,West Senior,9,A,Female,14,88.7,1.4,No,Secondary,65.1,56.1,52.0,80.3,76.2,65.94,65.1,5,Pass,Good,No
STU-0127,East Model,11,B,Female,16,80.2,1.5,Yes,Graduate,60.2,66.8,58.3,45.5,65.7,59.3,60.2,5,Pass,Good,No
STU-0128,North Academy,11,B,Female,16,70.0,2.5,Yes,Primary,72.6,48.5,62.1,62.8,46.4,58.48,62.1,5,Pass,Average,Yes
STU-0129,South Public,11,C,Female,17,74.9,1.0,Yes,Graduate,42.9,64.6,45.8,49.2,54.2,51.339999999999996,49.2,5,Pass,Average,Yes
STU-0130,West Senior,9,A,Female,14,94.6,0.8,Yes,Graduate,80.6,80.5,51.3,69.6,55.5,67.5,69.6,5,Pass,Good,No
STU-0131,South Public,12,C,Male,17,77.2,1.9,Yes,Graduate,67.6,58.5,63.6,58.7,60.0,61.67999999999999,60.0,5,Pass,Good,No
STU-0132,South Public,12,B,Female,18,74.7,7.0,No,Graduate,66.9,100.0,100.0,76.5,78.8,84.44,78.8,5,Pass,Very Good,Yes
STU-0133,East Model,9,B,Female,14,73.6,0.5,Yes,Graduate,40.5,50.2,64.6,78.7,63.8,59.56,63.8,5,Pass,Good,Yes
STU-0134,East Model,11,C,Female,16,78.0,2.6,No,Postgraduate,54.2,70.8,65.9,65.1,65.2,64.24,65.2,5,Pass,Good,No
STU-0135,North Academy,11,A,Female,16,80.9,2.7,Yes,Postgraduate,68.8,64.3,65.9,79.5,50.6,65.82000000000001,65.9,5,Pass,Good,No
STU-0136,North Academy,10,B,Female,15,85.6,2.4,Yes,Secondary,71.3,83.4,83.3,63.3,53.8,71.02000000000001,71.3,5,Pass,Good,No
STU-0137,East Model,11,A,Male,17,75.1,2.3,Yes,Postgraduate,58.2,55.2,63.5,63.5,61.3,60.339999999999996,61.3,5,Pass,Good,No
STU-0138,South Public,9,A,Female,15,82.3,1.3,Yes,Secondary,55.9,66.6,67.6,68.4,72.1,66.12,67.6,5,Pass,Good,No
STU-0139,West Senior,9,C,Male,15,99.8,1.7,No,Graduate,62.3,63.1,71.3,68.3,92.6,71.52000000000001,68.3,5,Pass,Good,No
STU-0140,South Public,10,B,Male,16,76.8,4.0,No,Graduate,58.8,62.2,72.2,53.9,84.3,66.28,62.2,5,Pass,Good,No
STU-0141,North Academy,11,A,Female,16,83.4,1.4,No,Secondary,55.9,72.0,66.6,65.9,69.0,65.88,66.6,5,Pass,Good,No
STU-0142,West Senior,10,B,Female,15,83.1,3.7,Yes,Graduate,70.4,74.7,67.4,69.6,84.2,73.26,70.4,5,Pass,Good,No
STU-0143,North Academy,11,A,Female,16,85.7,2.7,Yes,Postgraduate,63.3,70.5,79.5,52.8,70.9,67.4,70.5,5,Pass,Good,No
STU-0144,West Senior,10,A,Female,15,90.9,1.1,Yes,Primary,53.3,72.0,69.7,66.6,58.4,64.0,66.6,5,Pass,Good,No
STU-0145,North Academy,11,B,Female,16,78.8,5.3,No,Graduate,76.8,82.6,74.0,68.2,71.7,74.66,74.0,5,Pass,Very Good,No
STU-0146,North Academy,9,B,Female,14,95.6,1.5,Yes,Secondary,64.3,85.1,57.9,64.9,64.9,67.42,64.9,5,Pass,Good,No
STU-0147,North Academy,12,C,Female,17,75.1,1.7,Yes,Secondary,63.5,84.7,66.9,67.2,49.3,66.32000000000001,66.9,5,Pass,Good,No
STU-0148,North Academy,11,B,Male,16,67.7,2.3,Yes,Graduate,61.4,58.5,62.4,74.1,52.3,61.739999999999995,61.4,5,Pass,Good,Yes
STU-0149,West Senior,11,B,Female,17,92.8,1.0,Yes,Primary,56.4,60.5,69.0,58.1,52.0,59.2,58.1,5,Pass,Good,No
STU-0150,South Public,9,C,Female,14,80.9,1.1,Yes,Graduate,48.1,50.4,58.3,71.8,57.6,57.24000000000001,57.6,5,Pass,Average,No
STU-0151,South Public,11,A,Female,16,73.6,4.3,Yes,Primary,66.7,58.0,68.7,47.5,73.9,62.96,66.7,5,Pass,Good,Yes
STU-0152,West Senior,9,A,Male,15,78.7,2.2,No,Postgraduate,65.3,50.9,74.6,62.6,75.3,65.74,65.3,5,Pass,Good,No
STU-0153,East Model,11,C,Male,17,66.1,1.2,Yes,Secondary,74.5,52.3,52.5,67.8,58.3,61.080000000000005,58.3,5,Pass,Good,Yes
STU-0154,West Senior,9,B,Male,14,94.9,0.9,Yes,Graduate,54.4,53.6,75.2,53.2,71.1,61.5,54.4,5,Pass,Good,No
STU-0155,South Public,10,C,Male,15,67.9,3.3,Yes,Primary,77.2,52.9,70.4,62.1,70.7,66.66,70.4,5,Pass,Good,Yes
STU-0156,North Academy,12,B,Female,18,80.0,3.4,Yes,Graduate,77.3,68.8,84.3,78.1,76.5,77.0,77.3,5,Pass,Very Good,No
STU-0157,North Academy,11,A,Male,16,78.4,1.7,No,Secondary,61.0,65.3,57.3,56.9,71.5,62.4,61.0,5,Pass,Good,No
STU-0158,South Public,9,C,Female,14,59.0,2.0,Yes,Primary,58.8,53.2,56.7,55.7,58.6,56.6,56.7,5,Pass,Average,Yes
STU-0159,West Senior,11,C,Male,16,80.6,3.3,Yes,Secondary,53.4,78.3,77.9,71.7,85.7,73.4,77.9,5,Pass,Good,No
STU-0160,South Public,10,A,Female,15,82.1,2.0,Yes,Postgraduate,62.6,61.1,69.0,73.4,67.4,66.7,67.4,5,Pass,Good,No
STU-0161,South Public,12,B,Female,17,88.9,0.8,Yes,Graduate,33.6,58.0,54.1,62.5,71.1,55.85999999999999,58.0,4,Fail,Average,Yes
STU-0162,South Public,10,A,Female,15,85.2,1.2,Yes,Secondary,76.7,57.7,74.8,69.3,68.3,69.36,69.3,5,Pass,Good,No
STU-0163,North Academy,9,B,Female,14,89.4,0.8,Yes,Primary,61.7,76.1,81.0,64.2,76.7,71.94,76.1,5,Pass,Good,No
STU-0164,South Public,10,C,Male,16,90.8,0.9,Yes,Secondary,62.0,77.5,78.2,58.3,74.5,70.1,74.5,5,Pass,Good,No
STU-0165,West Senior,12,C,Female,17,85.5,1.3,Yes,Secondary,89.6,56.6,63.7,59.4,73.6,68.58,63.7,5,Pass,Good,No
STU-0166,South Public,9,A,Female,14,78.0,1.8,Yes,Graduate,27.0,67.8,63.7,79.0,71.4,61.779999999999994,67.8,4,Fail,Good,Yes
STU-0167,South Public,12,B,Male,17,100.0,1.4,Yes,Graduate,73.9,70.8,80.1,69.5,64.9,71.83999999999999,70.8,5,Pass,Good,No
STU-0168,East Model,12,A,Female,18,68.1,1.9,Yes,Secondary,60.8,64.4,76.8,49.9,61.3,62.64,61.3,5,Pass,Good,Yes
STU-0169,West Senior,10,C,Male,16,78.9,1.5,Yes,Postgraduate,62.1,58.9,64.0,66.4,76.3,65.53999999999999,64.0,5,Pass,Good,No
STU-0170,North Academy,12,C,Male,18,78.7,1.5,Yes,Primary,43.6,61.9,72.8,80.1,49.5,61.58,61.9,5,Pass,Good,No
STU-0171,North Academy,11,A,Female,16,75.0,0.7,Yes,Primary,49.6,71.4,73.7,62.8,52.6,62.02,62.8,5,Pass,Good,No
STU-0172,West Senior,11,C,Female,17,75.1,1.1,Yes,Primary,57.6,57.7,67.7,64.7,62.9,62.11999999999999,62.9,5,Pass,Good,No
STU-0173,South Public,10,A,Female,15,75.6,4.6,Yes,Primary,80.8,75.3,65.9,92.2,89.4,80.72,80.8,5,Pass,Very Good,No
STU-0174,North Academy,11,C,Male,16,79.2,4.1,Yes,Graduate,59.8,75.0,68.4,57.8,74.6,67.12,68.4,5,Pass,Good,No
STU-0175,South Public,9,A,Female,14,82.2,1.1,Yes,Postgraduate,52.7,68.7,62.2,84.1,81.7,69.88000000000001,68.7,5,Pass,Good,No
STU-0176,West Senior,12,C,Male,17,70.1,2.3,No,Graduate,63.2,41.2,61.3,61.3,73.4,60.08,61.3,5,Pass,Good,Yes
STU-0177,East Model,9,B,Male,14,73.2,3.2,Yes,Primary,63.9,83.5,75.2,82.0,75.6,76.04,75.6,5,Pass,Very Good,Yes
STU-0178,East Model,10,B,Male,15,68.6,1.6,No,Primary,54.1,38.4,60.0,64.7,59.1,55.260000000000005,59.1,4,Fail,Average,Yes
