date,city,region,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,weather_condition
2022-01-26,Delhi,North,22.1,10.0,0.0,41.3,9.3,Clear
2022-01-27,Delhi,North,19.8,8.6,0.0,47.5,12.9,Clear
2022-01-28,Delhi,North,13.7,5.7,0.0,52.5,22.5,Clear
2022-01-29,Delhi,North,14.7,6.1,0.0,64.6,8.9,Clear
2022-01-30,Delhi,North,24.3,12.5,0.0,52.6,28.3,Clear
2022-01-31,Delhi,North,19.9,8.7,0.0,60.4,4.9,Clear
2022-02-01,Delhi,North,16.8,7.9,0.0,44.4,13.4,Clear
2022-02-02,Delhi,North,17.3,5.1,0.0,57.9,16.9,Clear
2022-02-03,Delhi,North,17.7,7.4,0.0,41.1,10.9,Clear
2022-02-04,Delhi,North,18.1,5.8,0.0,43.1,16.6,Clear
2022-02-05,Delhi,North,19.4,7.5,0.0,56.2,16.5,Clear
2022-02-06,Delhi,North,21.0,9.4,0.0,42.8,3.9,Clear
2022-02-07,Delhi,North,20.5,8.4,0.0,51.5,20.0,Clear
2022-02-08,Delhi,North,17.9,8.9,0.0,49.1,10.4,Clear
2022-02-09,Delhi,North,18.2,8.6,0.0,59.6,24.3,Clear
2022-02-10,Delhi,North,20.1,10.8,0.0,41.6,6.8,Clear
2022-02-11,Delhi,North,16.3,7.1,1.4,58.4,13.2,Light Rain
2022-02-12,Delhi,North,17.2,6.3,0.0,48.5,16.6,Clear
2022-02-13,Delhi,North,17.4,5.0,0.0,57.5,3.1,Clear
2022-02-14,Delhi,North,20.8,8.7,0.0,38.4,6.1,Clear
2022-02-15,Delhi,North,22.8,11.2,0.0,46.2,7.7,Clear
2022-02-16,Delhi,North,19.9,10.2,0.0,58.4,4.1,Clear
2022-02-17,Delhi,North,15.8,6.6,0.0,50.3,4.8,Clear
2022-02-18,Delhi,North,21.2,9.6,0.0,56.5,15.9,Clear
2022-02-19,Delhi,North,22.0,12.1,0.0,42.6,18.3,Clear
2022-02-20,Delhi,North,22.7,11.1,0.0,52.7,38.2,Clear
2022-02-21,Delhi,North,24.2,15.0,0.0,57.0,17.3,Clear
2022-02-22,Delhi,North,22.1,10.4,0.0,48.6,23.8,Clear
2022-02-23,Delhi,North,21.2,9.4,0.0,56.6,14.4,Clear
2022-02-24,Delhi,North,19.9,7.7,0.0,62.4,20.7,Clear
2022-02-25,Delhi,North,22.3,11.1,0.0,46.5,12.1,Clear
2022-02-26,Delhi,North,21.1,10.6,0.0,47.4,2.8,Clear
2022-02-27,Delhi,North,23.8,10.4,0.0,50.9,14.3,Clear
2022-02-28,Delhi,North,23.2,13.0,0.0,57.5,8.7,Clear
2022-03-01,Delhi,North,17.6,7.2,0.4,68.4,30.8,Light Rain
2022-03-02,Delhi,North,22.0,10.5,0.0,60.6,19.8,Clear
2022-03-03,Delhi,North,19.5,10.2,0.0,54.2,4.4,Clear
2022-03-04,Delhi,North,25.0,10.4,0.0,45.6,6.5,Clear
2022-03-05,Delhi,North,27.1,14.6,0.0,44.6,4.7,Clear
2022-03-06,Delhi,North,23.4,10.0,0.0,50.3,14.9,Clear
2022-03-07,Delhi,North,20.4,9.2,0.0,48.9,3.8,Clear
2022-03-08,Delhi,North,22.3,9.8,0.0,54.7,13.0,Clear
2022-03-09,Delhi,North,22.1,12.8,0.0,44.1,5.3,Clear
2022-03-10,Delhi,North,21.7,12.8,0.0,61.3,3.1,Clear
2022-03-11,Delhi,North,23.2,12.3,0.0,58.8,3.0,Clear
2022-03-12,Delhi,North,23.3,13.8,0.0,32.8,14.1,Clear
2022-03-13,Delhi,North,27.9,17.9,0.0,40.2,6.8,Clear
2022-03-14,Delhi,North,23.3,13.2,0.0,51.3,9.0,Clear
2022-03-15,Delhi,North,23.2,14.8,0.0,45.0,7.0,Clear
2022-03-16,Delhi,North,24.4,12.7,0.0,57.2,11.4,Clear
2022-03-17,Delhi,North,23.5,12.6,0.0,60.8,13.0,Clear
2022-03-18,Delhi,North,24.6,14.4,0.0,47.8,6.9,Clear
2022-03-19,Delhi,North,25.5,14.4,0.0,50.8,20.0,Clear
2022-03-20,Delhi,North,26.3,15.1,0.0,44.2,13.0,Clear
2022-03-21,Delhi,North,25.1,13.5,0.0,56.8,6.7,Clear
2022-03-22,Delhi,North,27.4,15.9,0.0,39.0,2.8,Clear
2022-03-23,Delhi,North,25.9,17.1,0.0,48.2,4.0,Clear
2022-03-24,Delhi,North,24.5,15.1,0.0,40.2,21.9,Clear
2022-03-25,Delhi,North,23.2,14.0,0.0,45.7,8.9,Clear
2022-03-26,Delhi,North,25.8,14.6,0.0,52.8,17.6,Clear
2022-03-27,Delhi,North,23.7,14.4,0.0,43.8,5.9,Clear
2022-03-28,Delhi,North,28.1,15.9,0.0,48.6,25.3,Clear
2022-03-29,Delhi,North,26.2,12.2,0.0,52.4,12.4,Clear
2022-03-30,Delhi,North,29.9,19.5,0.0,48.0,7.0,Clear
2022-03-31,Delhi,North,24.4,15.3,0.0,43.8,5.8,Clear
2022-04-01,Delhi,North,24.0,14.2,0.0,57.4,8.4,Clear
2022-04-02,Delhi,North,26.9,15.2,0.0,57.7,17.3,Clear
2022-04-03,Delhi,North,27.2,14.8,0.0,61.0,6.3,Clear
2022-04-04,Delhi,North,26.4,15.5,0.0,58.7,3.6,Clear
2022-04-05,Delhi,North,30.7,21.2,0.0,45.7,8.5,Clear
2022-04-06,Delhi,North,28.6,18.6,0.0,49.2,9.6,Clear
2022-04-07,Delhi,North,28.7,16.1,0.0,29.1,4.6,Clear
2022-04-08,Delhi,North,26.8,15.1,0.0,47.3,12.7,Clear
2022-04-09,Delhi,North,29.5,19.7,0.0,54.6,9.6,Clear
2022-04-10,Delhi,North,30.9,18.9,0.0,55.8,6.2,Clear
2022-04-11,Delhi,North,28.7,17.5,2.3,44.2,8.6,Light Rain
2022-04-12,Delhi,North,28.8,18.7,0.0,49.2,27.1,Clear
2022-04-13,Delhi,North,30.4,19.2,0.0,58.4,4.1,Clear
2022-04-14,Delhi,North,31.3,20.3,0.0,49.0,13.2,Clear
2022-04-15,Delhi,North,29.9,18.7,0.0,49.3,8.4,Clear
2022-04-16,Delhi,North,27.9,16.7,0.0,56.7,9.3,Clear
2022-04-17,Delhi,North,31.2,20.6,0.0,52.7,10.3,Clear
2022-04-18,Delhi,North,32.1,20.4,0.0,52.7,4.3,Clear
2022-04-19,Delhi,North,34.4,23.4,0.0,35.0,7.4,Clear
2022-04-20,Delhi,North,32.8,24.0,0.0,39.9,9.2,Clear
2022-04-21,Delhi,North,32.9,20.4,0.0,33.7,14.9,Clear
2022-04-22,Delhi,North,33.8,21.7,0.0,56.7,11.6,Clear
2022-04-23,Delhi,North,31.7,20.3,0.0,40.8,6.2,Clear
2022-04-24,Delhi,North,34.1,23.6,0.0,56.3,15.3,Clear
2022-04-25,Delhi,North,33.0,19.0,0.0,54.1,7.1,Clear
2022-04-26,Delhi,North,31.3,19.9,0.0,52.3,5.7,Clear
2022-04-27,Delhi,North,32.6,20.4,0.0,45.4,9.6,Clear
2022-04-28,Delhi,North,34.4,24.2,0.0,35.4,19.4,Clear
2022-04-29,Delhi,North,31.4,20.1,0.0,35.3,20.9,Clear
2022-04-30,Delhi,North,31.4,20.7,0.0,52.3,4.9,Clear
2022-05-01,Delhi,North,33.3,23.8,0.0,51.5,11.0,Clear
2022-05-02,Delhi,North,35.8,26.9,0.0,57.7,20.7,Clear
2022-05-03,Delhi,North,36.8,24.8,0.0,35.5,15.8,Clear
2022-05-04,Delhi,North,32.4,21.1,0.0,35.0,1.5,Clear
2022-05-05,Delhi,North,34.2,23.8,0.0,52.7,9.9,Clear
2022-05-06,Delhi,North,32.1,22.3,,48.4,16.1,Clear
2022-05-07,Delhi,North,36.5,24.5,0.0,38.5,15.7,Clear
2022-05-08,Delhi,North,37.7,24.6,0.0,52.5,3.4,Clear
2022-05-09,Delhi,North,35.2,22.9,0.0,43.8,1.5,Clear
2022-05-10,Delhi,North,35.4,25.0,0.0,62.4,12.0,Clear
2022-05-11,Delhi,North,39.0,26.1,0.0,51.7,14.6,Clear
2022-05-12,Delhi,North,33.2,24.1,0.0,45.5,17.7,Clear
2022-05-13,Delhi,North,37.3,26.9,0.0,64.4,20.1,Clear
2022-05-14,Delhi,North,38.1,26.3,0.0,51.5,9.8,Clear
2022-05-15,Delhi,North,37.4,25.6,0.0,40.0,4.5,Clear
2022-05-16,Delhi,North,35.4,25.2,0.0,45.6,18.0,Clear
2022-05-17,Delhi,North,36.3,25.7,3.4,39.4,29.4,Light Rain
2022-05-18,Delhi,North,38.5,27.1,0.0,44.5,24.4,Clear
2022-05-19,Delhi,North,36.5,26.0,0.0,39.5,11.2,Clear
2022-05-20,Delhi,North,36.1,25.9,0.0,49.4,13.0,Clear
2022-05-21,Delhi,North,37.6,26.4,0.0,40.1,33.8,Clear
2022-05-22,Delhi,North,37.2,24.9,0.0,46.8,16.4,Clear
2022-05-23,Delhi,North,38.7,27.4,0.0,51.1,8.2,Clear
2022-05-24,Delhi,North,38.3,26.9,0.0,46.6,2.3,Clear
2022-05-25,Delhi,North,39.8,31.1,0.0,63.7,8.8,Clear
2022-05-26,Delhi,North,40.2,28.9,0.0,35.2,7.1,Clear
2022-05-27,Delhi,North,37.7,28.2,0.0,49.9,5.9,Clear
2022-05-28,Delhi,North,39.0,25.4,0.0,37.9,6.0,Clear
2022-05-29,Delhi,North,38.4,25.3,0.0,45.8,14.2,Clear
2022-05-30,Delhi,North,40.1,28.8,0.0,36.8,4.7,Clear
2022-05-31,Delhi,North,37.7,26.0,0.0,35.3,15.4,Clear
2022-06-01,Delhi,North,40.6,30.1,0.0,62.7,11.6,Clear
2022-06-02,Delhi,North,37.8,29.5,0.0,49.6,5.5,Clear
2022-06-03,Delhi,North,38.6,26.3,0.0,51.3,5.7,Clear
2022-06-04,Delhi,North,35.4,24.2,0.0,45.2,6.1,Clear
2022-06-05,Delhi,North,38.7,29.6,0.0,60.2,6.3,Clear
2022-06-06,Delhi,North,37.4,25.2,0.0,53.7,12.2,Clear
2022-06-07,Delhi,North,40.6,28.3,0.0,24.3,3.4,Clear
2022-06-08,Delhi,North,41.6,32.2,0.0,59.4,2.3,Clear
2022-06-09,Delhi,North,37.9,29.7,0.0,43.9,9.4,Clear
2022-06-10,Delhi,North,41.2,29.2,0.0,63.3,8.1,Clear
2022-06-11,Delhi,North,40.9,31.8,0.0,48.0,6.6,Clear
2022-06-12,Delhi,North,44.1,32.7,0.0,44.3,10.7,Clear
2022-06-13,Delhi,North,40.5,27.9,0.0,59.3,13.5,Clear
2022-06-14,Delhi,North,42.0,30.6,18.7,64.9,6.7,Rain
2022-06-15,Delhi,North,37.2,25.9,0.0,46.1,17.8,Clear
2022-06-16,Delhi,North,36.7,26.0,0.0,53.7,19.0,Clear
2022-06-17,Delhi,North,38.1,26.1,0.0,52.4,8.8,Clear
2022-06-18,Delhi,North,42.2,31.8,0.0,55.0,15.8,Clear
2022-06-19,Delhi,North,43.1,30.4,0.0,45.3,24.6,Clear
2022-06-20,Delhi,North,39.3,28.9,0.0,56.4,6.3,Clear
2022-06-21,Delhi,North,40.8,28.7,11.4,44.7,8.0,Rain
2022-06-22,Delhi,North,39.7,26.2,0.0,51.6,14.1,Clear
2022-06-23,Delhi,North,42.6,32.1,0.0,42.6,11.1,Clear
2022-06-24,Delhi,North,38.7,27.6,0.0,48.2,4.3,Clear
2022-06-25,Delhi,North,39.7,28.3,0.0,38.3,4.4,Clear
2022-06-26,Delhi,North,43.6,30.9,4.1,54.9,36.5,Light Rain
2022-06-27,Delhi,North,40.9,30.2,0.0,48.0,8.8,Clear
2022-06-28,Delhi,North,41.2,30.1,0.0,31.9,8.4,Clear
2022-06-29,Delhi,North,43.3,31.8,0.0,52.3,14.4,Clear
2022-06-30,Delhi,North,41.9,29.8,64.3,61.2,8.8,Rain
2022-07-01,Delhi,North,43.7,31.0,30.0,72.2,14.4,Rain
2022-07-02,Delhi,North,44.3,33.4,118.1,78.3,11.5,Heavy Rain
2022-07-03,Delhi,North,40.9,27.9,41.1,83.1,13.9,Rain
2022-07-04,Delhi,North,41.6,31.2,114.8,73.6,31.1,Heavy Rain
2022-07-05,Delhi,North,43.6,33.2,21.0,67.4,24.2,Rain
2022-07-06,Delhi,North,44.5,32.9,0.0,74.9,5.1,Clear
2022-07-07,Delhi,North,40.6,27.3,26.5,74.7,13.2,Rain
2022-07-08,Delhi,North,44.9,33.5,0.0,73.7,11.3,Clear
2022-07-09,Delhi,North,44.5,35.6,0.0,79.7,6.1,Clear
2022-07-10,Delhi,North,43.0,32.8,0.0,68.4,28.2,Clear
2022-07-11,Delhi,North,44.9,35.5,47.7,74.3,15.2,Rain
2022-07-12,Delhi,North,41.3,30.7,0.0,70.4,8.2,Clear
2022-07-13,Delhi,North,45.3,35.2,76.9,79.4,12.7,Heavy Rain
2022-07-14,Delhi,North,43.2,33.1,68.5,79.3,25.2,Heavy Rain
2022-07-15,Delhi,North,43.8,33.9,57.2,65.5,8.2,Rain
2022-07-16,Delhi,North,41.0,29.4,5.2,82.3,7.3,Light Rain
2022-07-17,Delhi,North,42.3,31.1,41.9,74.9,18.9,Rain
2022-07-18,Delhi,North,41.3,30.8,61.6,90.6,10.1,Rain
2022-07-19,Delhi,North,38.8,28.9,173.0,72.7,18.6,Heavy Rain
2022-07-20,Delhi,North,44.8,34.8,17.1,88.3,8.1,Rain
2022-07-21,Delhi,North,43.6,32.4,145.8,71.4,9.8,Heavy Rain
2022-07-22,Delhi,North,42.4,30.3,97.8,80.9,10.4,Heavy Rain
2022-07-23,Delhi,North,47.1,36.3,19.7,75.7,11.1,Rain
2022-07-24,Delhi,North,40.5,27.2,182.1,71.7,10.0,Heavy Rain
2022-07-25,Delhi,North,43.7,30.8,16.8,78.9,17.0,Rain
2022-07-26,Delhi,North,39.2,28.8,88.5,87.7,16.0,Heavy Rain
2022-07-27,Delhi,North,41.3,29.3,24.6,79.2,13.0,Rain
2022-07-28,Delhi,North,41.3,32.2,51.0,55.3,10.2,Rain
2022-07-29,Delhi,North,42.5,29.8,0.0,83.0,3.4,Cloudy
2022-07-30,Delhi,North,42.5,32.1,223.5,83.8,6.7,Heavy Rain
2022-07-31,Delhi,North,40.6,30.9,49.2,77.5,18.4,Rain
2022-08-01,Delhi,North,43.0,32.2,0.0,70.0,14.7,Clear
2022-08-02,Delhi,North,39.2,32.0,0.0,74.2,5.4,Clear
2022-08-03,Delhi,North,48.3,34.9,58.0,70.1,8.5,Rain
2022-08-04,Delhi,North,43.0,32.7,0.0,68.0,7.6,Clear
2022-08-05,Delhi,North,43.9,33.3,49.8,80.4,14.0,Rain
2022-08-06,Delhi,North,42.3,31.7,0.0,72.4,2.9,Clear
2022-08-07,Delhi,North,36.3,27.8,30.0,100.0,26.5,Rain
2022-08-08,Delhi,North,44.5,31.6,158.0,88.5,6.0,Heavy Rain
2022-08-09,Delhi,North,42.8,30.5,64.7,84.2,7.3,Heavy Rain
2022-08-10,Delhi,North,39.8,30.8,0.0,73.6,10.0,Clear
2022-08-11,Delhi,North,41.2,30.1,38.4,75.6,12.8,Rain
2022-08-12,Delhi,North,44.2,33.2,15.2,76.0,11.9,Rain
2022-08-13,Delhi,North,37.4,28.5,1.5,91.8,16.7,Light Rain
2022-08-14,Delhi,North,36.0,25.0,17.2,76.1,10.4,Rain
2022-08-15,Delhi,North,40.4,31.9,0.0,64.3,21.3,Clear
2022-08-16,Delhi,North,42.4,31.4,56.9,71.5,7.0,Rain
2022-08-17,Delhi,North,40.8,29.0,98.6,67.6,14.1,Heavy Rain
2022-08-18,Delhi,North,41.9,31.3,66.7,69.0,12.5,Heavy Rain
2022-08-19,Delhi,North,42.9,32.4,0.0,64.9,12.3,Clear
2022-08-20,Delhi,North,39.7,28.3,69.2,76.0,8.6,Heavy Rain
2022-08-21,Delhi,North,38.7,28.8,42.7,83.2,13.1,Rain
2022-08-22,Delhi,North,41.4,30.2,89.7,67.4,16.6,Heavy Rain
2022-08-23,Delhi,North,40.0,28.7,27.1,72.6,16.6,Rain
2022-08-24,Delhi,North,39.3,27.0,47.4,67.9,29.2,Rain
2022-08-25,Delhi,North,39.0,25.9,11.8,82.3,9.1,Rain
2022-08-26,Delhi,North,41.9,31.4,35.2,72.2,12.1,Rain
2022-08-27,Delhi,North,41.2,28.3,0.0,72.2,3.8,Clear
2022-08-28,Delhi,North,39.8,28.5,63.4,69.8,16.2,Rain
2022-08-29,Delhi,North,40.8,28.9,0.0,64.4,20.7,Clear
2022-08-30,Delhi,North,35.8,25.4,62.9,82.2,9.9,Rain
2022-08-31,Delhi,North,36.0,23.3,0.0,53.0,14.6,Clear
2022-09-01,Delhi,North,37.5,25.8,7.4,80.3,19.8,Light Rain
2022-09-02,Delhi,North,41.7,29.7,81.5,75.5,11.3,Heavy Rain
2022-09-03,Delhi,North,39.5,28.8,23.4,82.5,11.9,Rain
2022-09-04,Delhi,North,38.3,29.4,79.9,81.2,6.5,Heavy Rain
2022-09-05,Delhi,North,35.3,25.2,74.9,87.9,7.8,Heavy Rain
2022-09-06,Delhi,North,38.2,27.1,61.7,86.4,18.1,Rain
2022-09-07,Delhi,North,40.2,27.3,0.0,59.6,3.1,Clear
2022-09-08,Delhi,North,33.9,24.4,42.3,85.3,18.1,Rain
2022-09-09,Delhi,North,39.9,29.8,64.4,91.9,9.2,Rain
2022-09-10,Delhi,North,34.3,24.2,270.4,87.4,18.4,Heavy Rain
2022-09-11,Delhi,North,34.7,22.9,97.9,63.5,8.2,Heavy Rain
2022-09-12,Delhi,North,36.1,25.8,0.0,60.1,5.9,Clear
2022-09-13,Delhi,North,37.8,25.3,134.7,82.7,8.8,Heavy Rain
2022-09-14,Delhi,North,34.0,24.2,203.2,80.2,8.3,Heavy Rain
2022-09-15,Delhi,North,39.5,26.4,0.0,76.4,13.4,Clear
2022-09-16,Delhi,North,36.3,27.3,165.5,75.8,10.5,Heavy Rain
2022-09-17,Delhi,North,37.1,24.9,69.9,78.2,11.1,Heavy Rain
2022-09-18,Delhi,North,32.8,21.7,17.2,90.0,7.7,Rain
2022-09-19,Delhi,North,36.9,26.2,0.0,67.0,20.8,Clear
2022-09-20,Delhi,North,33.9,23.2,125.4,73.2,19.0,Heavy Rain
2022-09-21,Delhi,North,34.1,23.3,0.0,85.6,15.0,Cloudy
2022-09-22,Delhi,North,34.3,24.1,107.8,78.5,9.8,Heavy Rain
2022-09-23,Delhi,North,33.5,25.3,0.0,71.8,22.9,Clear
2022-09-24,Delhi,North,33.7,22.6,71.6,73.2,22.1,Heavy Rain
2022-09-25,Delhi,North,36.6,24.2,2.9,83.4,8.8,Light Rain
2022-09-26,Delhi,North,33.4,23.5,119.3,68.6,11.5,Heavy Rain
2022-09-27,Delhi,North,34.9,23.6,121.9,70.8,12.0,Heavy Rain
2022-09-28,Delhi,North,34.7,21.2,150.5,54.4,16.6,Heavy Rain
2022-09-29,Delhi,North,35.6,25.5,24.2,67.0,13.0,Rain
2022-09-30,Delhi,North,31.2,19.4,73.7,78.3,13.7,Heavy Rain
2022-10-01,Delhi,North,34.1,22.7,8.7,56.0,7.2,Light Rain
2022-10-02,Delhi,North,31.1,19.6,0.0,49.6,0.8,Clear
2022-10-03,Delhi,North,33.6,22.1,0.0,44.8,18.2,Clear
2022-10-04,Delhi,North,32.2,19.3,0.0,45.5,14.6,Clear
2022-10-05,Delhi,North,32.7,22.1,0.0,60.2,7.0,Clear
2022-10-06,Delhi,North,34.2,22.1,4.0,47.6,8.5,Light Rain
2022-10-07,Delhi,North,31.4,23.1,0.0,59.0,5.8,Clear
2022-10-08,Delhi,North,32.3,21.8,0.0,51.5,22.0,Clear
2022-10-09,Delhi,North,33.5,22.8,0.0,54.1,7.6,Clear
2022-10-10,Delhi,North,31.5,21.1,0.0,59.4,18.6,Clear
2022-10-11,Delhi,North,32.7,22.6,0.0,45.4,11.5,Clear
2022-10-12,Delhi,North,29.6,19.8,0.0,56.3,6.0,Clear
2022-10-13,Delhi,North,29.9,15.7,0.0,46.7,1.8,Clear
2022-10-14,Delhi,North,32.1,20.0,6.2,74.0,23.4,Light Rain
2022-10-15,Delhi,North,27.2,15.6,0.0,62.8,8.3,Clear
2022-10-16,Delhi,North,32.9,21.0,0.0,49.6,14.3,Clear
2022-10-17,Delhi,North,29.4,18.4,27.7,68.0,12.2,Rain
2022-10-18,Delhi,North,31.6,20.9,19.2,64.2,7.9,Rain
2022-10-19,Delhi,North,29.5,20.2,0.0,62.2,5.3,Clear
2022-10-20,Delhi,North,32.2,19.6,0.0,52.7,7.7,Clear
2022-10-21,Delhi,North,29.2,17.9,0.0,56.1,14.9,Clear
2022-10-22,Delhi,North,28.3,19.9,0.0,55.8,16.5,Clear
2022-10-23,Delhi,North,29.9,16.9,0.0,47.8,6.7,Clear
2022-10-24,Delhi,North,28.8,20.1,0.0,55.2,9.9,Clear
2022-10-25,Delhi,North,29.1,18.9,0.0,54.0,12.3,Clear
2022-10-26,Delhi,North,26.8,17.3,0.0,46.4,7.3,Clear
2022-10-27,Delhi,North,28.1,17.9,0.0,62.6,11.7,Clear
2022-10-28,Delhi,North,27.2,17.2,0.0,53.4,9.7,Clear
2022-10-29,Delhi,North,29.9,17.0,0.0,52.2,11.0,Clear
2022-10-30,Delhi,North,25.7,13.1,0.0,52.3,5.4,Clear
2022-10-31,Delhi,North,30.3,19.4,22.9,65.8,27.5,Rain
2022-11-01,Delhi,North,23.6,14.3,0.0,41.0,9.3,Clear
2022-11-02,Delhi,North,25.5,15.2,0.0,41.9,3.5,Clear
2022-11-03,Delhi,North,24.8,13.8,0.0,30.4,11.9,Clear
2022-11-04,Delhi,North,31.0,15.3,0.0,53.8,7.6,Clear
2022-11-05,Delhi,North,26.9,15.6,0.0,49.0,6.9,Clear
2022-11-06,Delhi,North,26.3,15.9,0.9,69.3,19.9,Light Rain
2022-11-07,Delhi,North,25.0,12.5,9.3,73.3,13.7,Light Rain
2022-11-08,Delhi,North,25.8,13.9,0.0,53.3,21.9,Clear
2022-11-09,Delhi,North,20.2,10.8,0.0,57.2,5.8,Clear
2022-11-10,Delhi,North,28.1,20.1,0.0,49.6,18.9,Clear
2022-11-11,Delhi,North,22.3,11.0,0.0,47.4,10.0,Clear
2022-11-12,Delhi,North,23.0,13.0,0.0,42.8,4.2,Clear
2022-11-13,Delhi,North,23.4,11.2,0.0,54.8,6.7,Clear
2022-11-14,Delhi,North,27.5,17.0,0.0,49.2,9.5,Clear
2022-11-15,Delhi,North,23.9,12.5,0.0,64.2,7.7,Clear
2022-11-16,Delhi,North,24.7,11.8,0.0,58.0,4.8,Clear
2022-11-17,Delhi,North,24.7,14.0,0.0,43.8,11.8,Clear
2022-11-18,Delhi,North,24.5,13.0,0.0,35.1,8.4,Clear
2022-11-19,Delhi,North,22.5,10.2,0.0,57.3,13.1,Clear
2022-11-20,Delhi,North,20.1,10.1,6.2,56.7,8.6,Light Rain
2022-11-21,Delhi,North,21.3,12.9,0.0,43.2,14.0,Clear
2022-11-22,Delhi,North,24.0,13.3,0.0,54.8,9.0,Clear
2022-11-23,Delhi,North,22.3,10.2,0.0,36.1,21.6,Clear
2022-11-24,Delhi,North,22.8,11.0,0.0,69.7,9.1,Clear
2022-11-25,Delhi,North,22.1,10.5,0.0,48.7,8.9,Clear
2022-11-26,Delhi,North,25.3,14.2,8.3,77.6,15.8,Light Rain
2022-11-27,Delhi,North,20.4,10.0,0.0,60.5,7.9,Clear
2022-11-28,Delhi,North,23.3,11.1,0.0,58.1,1.9,Clear
2022-11-29,Delhi,North,22.3,11.9,0.0,54.2,8.4,Clear
2022-11-30,Delhi,North,19.1,8.3,0.0,68.4,3.7,Clear
2022-12-01,Delhi,North,22.0,9.9,0.0,50.8,0.2,Clear
2022-12-02,Delhi,North,20.8,9.1,0.0,46.2,8.7,Clear
2022-12-03,Delhi,North,19.2,7.9,4.0,66.6,13.0,Light Rain
2022-12-04,Delhi,North,21.5,11.4,1.3,70.5,14.9,Light Rain
2022-12-05,Delhi,North,18.9,7.1,0.0,64.4,4.5,Clear
2022-12-06,Delhi,North,21.5,11.3,0.0,46.6,14.1,Clear
2022-12-07,Delhi,North,22.1,9.6,0.0,55.6,5.5,Clear
2022-12-08,Delhi,North,18.9,9.8,0.0,62.6,10.7,Clear
2022-12-09,Delhi,North,25.0,13.1,0.0,53.2,8.0,Clear
2022-12-10,Delhi,North,19.4,7.6,0.0,72.8,7.3,Clear
2022-12-11,Delhi,North,20.0,8.4,0.0,60.4,6.7,Clear
2022-12-12,Delhi,North,21.2,10.6,0.0,59.5,6.2,Clear
2022-12-13,Delhi,North,23.0,11.0,0.0,59.6,19.2,Clear
2022-12-14,Delhi,North,20.9,10.4,0.0,62.4,15.5,Clear
2022-12-15,Delhi,North,18.3,7.8,0.0,55.8,12.9,Clear
2022-12-16,Delhi,North,22.4,11.6,0.0,51.6,9.9,Clear
2022-12-17,Delhi,North,19.1,6.3,0.0,49.3,3.0,Clear
2022-12-18,Delhi,North,18.8,7.4,0.0,37.0,5.9,Clear
2022-12-19,Delhi,North,21.8,9.4,0.0,50.2,2.9,Clear
2022-12-20,Delhi,North,18.7,8.4,0.0,46.1,9.9,Clear
2022-12-21,Delhi,North,16.9,7.5,0.0,65.3,4.6,Clear
2022-12-22,Delhi,North,23.7,12.7,0.0,68.2,15.6,Clear
2022-12-23,Delhi,North,16.8,6.4,0.0,52.4,4.3,Clear
2022-12-24,Delhi,North,19.3,7.9,0.0,49.5,7.7,Clear
2022-12-25,Delhi,North,16.6,6.0,0.0,44.8,6.5,Clear
2022-12-26,Delhi,North,19.1,9.8,0.0,51.5,6.0,Clear
2022-12-27,Delhi,North,17.6,7.7,0.0,60.6,13.4,Clear
